date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,19
2020-02-22,59
2020-02-23,150
2020-02-24,221
2020-02-25,311
2020-02-26,438
2020-02-27,593
2020-02-28,821
2020-02-29,1053
2020-03-01,1577
2020-03-02,1835
2020-03-03,2263
2020-03-04,2706
2020-03-05,3296
2020-03-06,3916
2020-03-07,5061
2020-03-08,6387
2020-03-09,7985
2020-03-10,8794
2020-03-11,10590
2020-03-12,10590
2020-03-13,14955
2020-03-14,17750
2020-03-15,20603
