date,confirmed
2/24/2020,16
2/25/2020,18
2/26/2020,21
2/27/2020,26
2/28/2020,53
2/29/2020,66
3/1/2020,117
3/2/2020,150
3/3/2020,188
3/4/2020,240
3/5/2020,349
3/6/2020,534
3/7/2020,684
3/8/2020,847
3/9/2020,1112
3/10/2020,1460
3/11/2020,1884
3/12/2020,2369
3/13/2020,3062
3/14/2020,3795
3/15/2020,4838
3/16/2020,6012
3/17/2020,7156
3/18/2020,8198
3/19/2020,10999
3/20/2020,13957
3/21/2020,16662
3/22/2020,18610
3/23/2020,22672
3/24/2020,27436
3/25/2020,31554
3/26/2020,36508
3/27/2020,42288
3/28/2020,48582
3/29/2020,52547
3/30/2020,57298
3/31/2020,61913
4/1/2020,67336
4/2/2020,73522
4/3/2020,79696
4/4/2020,85778
4/5/2020,91714
4/6/2020,95391
4/7/2020,99225
4/8/2020,103228
4/9/2020,108202
4/10/2020,113525
4/11/2020,117658
4/12/2020,120479
4/13/2020,123016
4/14/2020,125098
4/15/2020,127584
4/16/2020,130450
4/17/2020,133830
4/18/2020,137439
4/19/2020,139897
4/20/2020,141672
4/21/2020,143457
4/22/2020,145694
4/23/2020,148046
4/24/2020,150383
4/25/2020,152438
4/26/2020,154175
4/27/2020,155193
4/28/2020,156337
4/29/2020,157641
4/30/2020,159119
5/1/2020,160758
5/2/2020,161703
5/3/2020,162496
5/4/2020,163175
5/5/2020,163860
5/6/2020,164807
5/7/2020,166091
5/8/2020,167300
5/9/2020,168551
5/10/2020,169218
5/11/2020,169575
5/12/2020,170508
