Age,M,F,Total,
0-4,2045919,1941523,0.04774405,
9-May,1928580,1810893,0.044774968,
14-Oct,1971230,1826839,0.045476573,0.090251541
15-19,2163070,1987285,0.049694706,
20-24,2376291,2175056,0.054496025,
25-29,2538483,2331831,0.05831521,
30-34,2812868,2630783,0.06518012,0.227686061
35-39,2711490,2615298,0.063780849,
40-44,2512560,2475429,0.059724204,
45-49,2724685,2687529,0.064803706,
50-54,3448195,3415871,0.082187606,
55-59,3347849,3362968,0.080352663,0.350849027
60-64,2776121,2889856,0.067842163,
65-69,2228280,2453269,0.056055012,
70-74,1796065,2037511,0.04590172,
75-79,1681060,2074960,0.044973095,0.214771991
80-84,1335326,1871223,0.038393947,
85-89,573159,978729,0.018581692,
90-94,228579,521298,0.00897873,
95-99,46133,165259,0.002531124,
100+,3172,14520,0.000211837,0.06869733
,41249115,42267930,83517045,
