date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,4
2020-03-09,4
2020-03-10,5
2020-03-11,7
2020-03-12,7
2020-03-13,7
2020-03-14,11
2020-03-15,16
2020-03-16,21
2020-03-17,22
2020-03-18,22
2020-03-19,22
2020-03-20,24
2020-03-21,24
2020-03-22,40
2020-03-23,40
2020-03-24,74
2020-03-25,84
2020-03-26,94
2020-03-27,110
2020-03-28,110
2020-03-29,120
2020-03-30,170
2020-03-31,174
2020-04-01,237
2020-04-02,273
2020-04-03,281
2020-04-04,299
2020-04-05,349
2020-04-06,367
2020-04-07,423
2020-04-08,444
2020-04-09,484
2020-04-10,521
2020-04-11,555
2020-04-12,607
2020-04-13,665
2020-04-14,714
2020-04-15,784
2020-04-16,840
2020-04-17,906
2020-04-18,933
2020-04-19,996
2020-04-20,1026
2020-04-21,1092
2020-04-22,1176
2020-04-23,1279
2020-04-24,1351
2020-04-25,1463
2020-04-26,1531
2020-04-27,1703
2020-04-28,1828
2020-04-29,1939
2020-04-30,2171
2020-05-01,2335
2020-05-02,2469
2020-05-03,2704
2020-05-04,2894
2020-05-05,3224
2020-05-06,3392
2020-05-07,3563
2020-05-08,3778
2020-05-09,4033
2020-05-10,4402
2020-05-11,4687
2020-05-12,4963
2020-05-13,5226
2020-05-14,5639
2020-05-15,6053
2020-05-16,6402
2020-05-17,6664
2020-05-18,7072
2020-05-19,7653
2020-05-20,8145
2020-05-21,8676
2020-05-22,9216
2020-05-23,9998
2020-05-24,10582
2020-05-25,11173
2020-05-26,11831
2020-05-27,12456
2020-05-28,13036
2020-05-29,13659
2020-05-30,14525
2020-05-31,15205
2020-06-01,15750
2020-06-02,16509
2020-06-03,17267
2020-06-04,18054
2020-06-05,18969
2020-06-06,19551
2020-06-07,20342
2020-06-08,20917
2020-06-09,21459
2020-06-10,22142
2020-06-11,22890
2020-06-12,23546
2020-06-13,24102
2020-06-14,24766
2020-06-15,25527
2020-06-16,26310
2020-06-17,26874
2020-06-18,27532
2020-06-19,27878
2020-06-20,28424
2020-06-21,28833
2020-06-22,29157
2020-06-23,29481
2020-06-24,29640
2020-06-25,30175
2020-06-26,30451
2020-06-27,30616
2020-06-28,30967
2020-06-29,31238
2020-06-30,31517
2020-07-01,31836
2020-07-02,32022
2020-07-03,32324
2020-07-04,32672
2020-07-05,32951
2020-07-06,33190
2020-07-07,33384
2020-07-08,33594
2020-07-09,33908
2020-07-10,34194
2020-07-11,34366
2020-07-12,34451
2020-07-13,34455
2020-07-14,34740
2020-07-15,34994
2020-07-16,35070
2020-07-17,35229
2020-07-18,35301
2020-07-19,35475
2020-07-20,35526
2020-07-21,35615
2020-07-22,35727
2020-07-23,35928
2020-07-24,35981
2020-07-25,36036
2020-07-26,36157
2020-07-27,36263
2020-07-28,36368
2020-07-29,36471
2020-07-30,36542
2020-07-31,36675
2020-08-01,36710
2020-08-02,36710
2020-08-03,36747
2020-08-04,36782
2020-08-05,36829
2020-08-06,36896
2020-08-07,37015
2020-08-08,37054
2020-08-09,37054
2020-08-10,37162
