date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,4
2020-03-24,5
2020-03-25,5
2020-03-26,6
2020-03-27,8
2020-03-28,10
2020-03-29,10
2020-03-30,11
2020-03-31,15
2020-04-01,15
2020-04-02,16
2020-04-03,17
2020-04-04,20
2020-04-05,20
2020-04-06,21
2020-04-07,22
2020-04-08,22
2020-04-09,23
2020-04-10,23
2020-04-11,23
2020-04-12,23
2020-04-13,23
2020-04-14,24
2020-04-15,25
2020-04-16,26
2020-04-17,26
2020-04-18,26
2020-04-19,26
2020-04-20,26
2020-04-21,26
2020-04-22,27
2020-04-23,27
2020-04-24,27
2020-04-25,27
2020-04-26,28
2020-04-27,28
2020-04-28,30
2020-04-29,30
2020-04-30,31
2020-05-01,31
2020-05-02,31
2020-05-03,31
2020-05-04,31
2020-05-05,31
2020-05-06,31
2020-05-07,31
2020-05-08,31
2020-05-09,31
2020-05-10,31
2020-05-11,31
2020-05-12,31
2020-05-13,31
2020-05-14,31
2020-05-15,31
2020-05-16,31
2020-05-17,31
2020-05-18,31
2020-05-19,31
2020-05-20,31
2020-05-21,31
2020-05-22,31
2020-05-23,31
2020-05-24,32
2020-05-25,32
2020-05-26,33
2020-05-27,33
2020-05-28,33
2020-05-29,33
2020-05-30,33
2020-05-31,33
2020-06-01,33
2020-06-02,33
2020-06-03,33
2020-06-04,33
2020-06-05,33
2020-06-06,34
2020-06-07,34
2020-06-08,34
2020-06-09,34
2020-06-10,34
2020-06-11,35
2020-06-12,36
2020-06-13,36
2020-06-14,36
2020-06-15,36
2020-06-16,37
2020-06-17,38
2020-06-18,39
2020-06-19,42
2020-06-20,43
2020-06-21,44
2020-06-22,44
2020-06-23,45
2020-06-24,47
2020-06-25,49
2020-06-26,51
2020-06-27,53
2020-06-28,55
2020-06-29,58
2020-06-30,62
2020-07-01,65
2020-07-02,69
2020-07-03,72
2020-07-04,74
2020-07-05,76
2020-07-06,79
2020-07-07,81
2020-07-08,83
2020-07-09,83
2020-07-10,85
2020-07-11,89
2020-07-12,93
2020-07-13,95
2020-07-14,97
2020-07-15,101
2020-07-16,104
2020-07-17,107
2020-07-18,111
2020-07-19,112
2020-07-20,113
2020-07-21,117
2020-07-22,120
2020-07-23,123
2020-07-24,128
2020-07-25,134
2020-07-26,138
2020-07-27,144
2020-07-28,148
2020-07-29,150
2020-07-30,154
2020-07-31,157
2020-08-01,161
2020-08-02,166
2020-08-03,172
2020-08-04,176
2020-08-05,182
2020-08-06,188
2020-08-07,189
2020-08-08,193
2020-08-09,199
2020-08-10,200
2020-08-11,205
2020-08-12,208
2020-08-13,213
2020-08-14,219
2020-08-15,225
2020-08-16,228
2020-08-17,230
2020-08-18,232
2020-08-19,234
2020-08-20,238
2020-08-21,240
2020-08-22,245
2020-08-23,250
2020-08-24,254
2020-08-25,259
2020-08-26,263
2020-08-27,266
2020-08-28,271
2020-08-29,275
2020-08-30,280
2020-08-31,284
2020-09-01,290
2020-09-02,296
2020-09-03,301
2020-09-04,306
2020-09-05,312
2020-09-06,316
2020-09-07,319
2020-09-08,321
2020-09-09,322
2020-09-10,324
2020-09-11,327
2020-09-12,330
2020-09-13,334
2020-09-14,338
2020-09-15,340
2020-09-16,343
2020-09-17,347
2020-09-18,353
2020-09-19,358
2020-09-20,362
2020-09-21,364
2020-09-22,367
2020-09-23,370
2020-09-24,370
2020-09-25,373
2020-09-26,375
2020-09-27,377
2020-09-28,380
2020-09-29,384
2020-09-30,387
2020-10-01,388
2020-10-02,389
2020-10-03,392
2020-10-04,396
2020-10-05,400
2020-10-06,403
2020-10-07,407
2020-10-08,411
2020-10-09,413
2020-10-10,416
2020-10-11,420
2020-10-12,424
