date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,3
2020-03-03,5
2020-03-04,12
2020-03-05,12
2020-03-06,17
2020-03-07,17
2020-03-08,19
2020-03-09,20
2020-03-10,20
2020-03-11,20
2020-03-12,24
2020-03-13,26
2020-03-14,37
2020-03-15,48
2020-03-16,54
2020-03-17,60
2020-03-18,74
2020-03-19,87
2020-03-20,90
2020-03-21,139
2020-03-22,201
2020-03-23,230
2020-03-24,264
2020-03-25,302
2020-03-26,367
2020-03-27,409
2020-03-28,454
2020-03-29,511
2020-03-30,584
2020-03-31,716
2020-04-01,847
2020-04-02,986
2020-04-03,1171
2020-04-04,1251
2020-04-05,1320
2020-04-06,1423
2020-04-07,1468
2020-04-08,1572
2020-04-09,1666
2020-04-10,1761
2020-04-11,1825
2020-04-12,1914
2020-04-13,1983
2020-04-14,2070
2020-04-15,2160
2020-04-16,2268
2020-04-17,2418
2020-04-18,2534
2020-04-19,2629
2020-04-20,2718
2020-04-21,2811
2020-04-22,2910
2020-04-23,3007
2020-04-24,3127
2020-04-25,3256
2020-04-26,3382
2020-04-27,3517
2020-04-28,3649
2020-04-29,3848
2020-04-30,4006
2020-05-01,4154
2020-05-02,4295
2020-05-03,4474
2020-05-04,4648
2020-05-05,4838
2020-05-06,4997
2020-05-07,5182
2020-05-08,5369
2020-05-09,5558
2020-05-10,5723
2020-05-11,5891
2020-05-12,6067
2020-05-13,6253
2020-05-14,6442
2020-05-15,6629
2020-05-16,6821
2020-05-17,7019
2020-05-18,7201
2020-05-19,7377
2020-05-20,7542
2020-05-21,7728
2020-05-22,7918
2020-05-23,8113
2020-05-24,8306
2020-05-25,8503
2020-05-26,8697
2020-05-27,8857
2020-05-28,8997
2020-05-29,9134
2020-05-30,9267
2020-05-31,9394
2020-06-01,9513
2020-06-02,9626
2020-06-03,9733
2020-06-04,9831
2020-06-05,9935
2020-06-06,10050
2020-06-07,10154
2020-06-08,10265
2020-06-09,10382
2020-06-10,10484
2020-06-11,10589
2020-06-12,10698
2020-06-13,10810
2020-06-14,10919
2020-06-15,11031
2020-06-16,11147
2020-06-17,11268
2020-06-18,11385
2020-06-19,11504
2020-06-20,11631
2020-06-21,11771
2020-06-22,11920
2020-06-23,12076
2020-06-24,12248
2020-06-25,12445
2020-06-26,12685
2020-06-27,12968
2020-06-28,13273
2020-06-29,13571
2020-06-30,13907
2020-07-01,14272
2020-07-02,14657
2020-07-03,15070
2020-07-04,15500
2020-07-05,15941
2020-07-06,16404
2020-07-07,16879
2020-07-08,17348
2020-07-09,17808
2020-07-10,18242
2020-07-11,18712
2020-07-12,19195
2020-07-13,19689
2020-07-14,20216
2020-07-15,20770
2020-07-16,21355
2020-07-17,21948
2020-07-18,22549
2020-07-19,23084
2020-07-20,23691
2020-07-21,24278
2020-07-22,24872
2020-07-23,25484
2020-07-24,26159
2020-07-25,26764
2020-07-26,27357
2020-07-27,27973
2020-07-28,28615
2020-07-29,29229
2020-07-30,29831
2020-07-31,30394
2020-08-01,30950
2020-08-02,31465
2020-08-03,31972
2020-08-04,32504
2020-08-05,33055
2020-08-06,33626
2020-08-07,34155
2020-08-08,34693
2020-08-09,35160
