date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,39
2020-03-18,39
2020-03-19,53
2020-03-20,75
2020-03-21,88
2020-03-22,113
2020-03-23,133
2020-03-24,164
2020-03-25,188
2020-03-26,224
2020-03-27,267
2020-03-28,308
2020-03-29,334
2020-03-30,370
2020-03-31,376
2020-04-01,390
2020-04-02,428
2020-04-03,439
2020-04-04,466
2020-04-05,501
2020-04-06,525
2020-04-07,545
2020-04-08,564
2020-04-09,583
2020-04-10,601
2020-04-11,601
2020-04-12,638
2020-04-13,646
2020-04-14,659
2020-04-15,673
2020-04-16,673
2020-04-17,696
2020-04-18,704
2020-04-19,713
2020-04-20,717
2020-04-21,717
2020-04-22,723
2020-04-23,723
2020-04-24,731
2020-04-25,738
2020-04-26,738
2020-04-27,743
2020-04-28,743
2020-04-29,743
2020-04-30,745
2020-05-01,745
2020-05-02,747
2020-05-03,748
2020-05-04,750
2020-05-05,751
2020-05-06,751
2020-05-07,752
2020-05-08,752
2020-05-09,754
2020-05-10,755
2020-05-11,755
2020-05-12,758
2020-05-13,760
2020-05-14,761
2020-05-15,761
2020-05-16,761
2020-05-17,761
2020-05-18,761
2020-05-19,761
2020-05-20,762
2020-05-21,762
2020-05-22,762
2020-05-23,762
2020-05-24,762
2020-05-25,763
2020-05-26,763
2020-05-27,763
2020-05-28,763
2020-05-29,764
2020-05-30,764
2020-05-31,764
2020-06-01,765
2020-06-02,844
2020-06-03,851
2020-06-04,852
2020-06-05,852
2020-06-06,852
2020-06-07,852
2020-06-08,852
2020-06-09,852
2020-06-10,852
2020-06-11,852
2020-06-12,853
2020-06-13,853
2020-06-14,853
2020-06-15,853
2020-06-16,854
2020-06-17,854
2020-06-18,855
2020-06-19,855
2020-06-20,855
2020-06-21,855
2020-06-22,855
2020-06-23,855
2020-06-24,855
2020-06-25,855
2020-06-26,855
2020-06-27,855
2020-06-28,855
2020-06-29,855
2020-06-30,855
2020-07-01,855
2020-07-02,855
2020-07-03,855
2020-07-04,855
2020-07-05,855
2020-07-06,855
2020-07-07,855
2020-07-08,855
2020-07-09,855
2020-07-10,855
2020-07-11,855
2020-07-12,855
2020-07-13,858
2020-07-14,861
2020-07-15,862
2020-07-16,877
2020-07-17,880
2020-07-18,880
2020-07-19,880
2020-07-20,884
2020-07-21,884
2020-07-22,889
2020-07-23,889
2020-07-24,897
2020-07-25,897
2020-07-26,897
2020-07-27,907
2020-07-28,907
2020-07-29,918
2020-07-30,922
2020-07-31,925
2020-08-01,925
2020-08-02,925
2020-08-03,937
2020-08-04,939
2020-08-05,939
2020-08-06,944
2020-08-07,955
2020-08-08,955
2020-08-09,955
