date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,3
2020-03-21,4
2020-03-22,4
2020-03-23,4
2020-03-24,6
2020-03-25,8
2020-03-26,9
2020-03-27,13
2020-03-28,18
2020-03-29,19
2020-03-30,23
2020-03-31,27
2020-04-01,28
2020-04-02,36
2020-04-03,39
2020-04-04,43
2020-04-05,44
2020-04-06,48
2020-04-07,56
2020-04-08,63
2020-04-09,72
2020-04-10,82
2020-04-11,83
2020-04-12,90
2020-04-13,97
2020-04-14,102
2020-04-15,111
2020-04-16,115
2020-04-17,123
2020-04-18,129
2020-04-19,132
2020-04-20,136
2020-04-21,147
2020-04-22,152
2020-04-23,165
2020-04-24,176
2020-04-25,185
2020-04-26,192
2020-04-27,197
2020-04-28,207
2020-04-29,214
2020-04-30,218
2020-05-01,225
2020-05-02,237
2020-05-03,246
2020-05-04,260
2020-05-05,264
2020-05-06,273
2020-05-07,282
2020-05-08,293
2020-05-09,300
2020-05-10,305
2020-05-11,314
2020-05-12,319
2020-05-13,329
2020-05-14,353
2020-05-15,356
2020-05-16,363
2020-05-17,373
2020-05-18,382
2020-05-19,393
2020-05-20,403
2020-05-21,416
2020-05-22,433
2020-05-23,445
2020-05-24,452
2020-05-25,467
2020-05-26,484
2020-05-27,500
2020-05-28,508
2020-05-29,520
2020-05-30,528
2020-05-31,539
2020-06-01,556
2020-06-02,569
2020-06-03,583
2020-06-04,608
2020-06-05,632
2020-06-06,648
2020-06-07,664
2020-06-08,693
2020-06-09,717
2020-06-10,735
2020-06-11,765
2020-06-12,785
2020-06-13,815
2020-06-14,833
2020-06-15,854
2020-06-16,878
2020-06-17,913
2020-06-18,948
2020-06-19,979
2020-06-20,992
2020-06-21,1011
2020-06-22,1043
2020-06-23,1078
2020-06-24,1116
2020-06-25,1150
2020-06-26,1184
2020-06-27,1207
2020-06-28,1232
2020-06-29,1280
2020-06-30,1307
2020-07-01,1351
2020-07-02,1385
2020-07-03,1437
2020-07-04,1481
2020-07-05,1507
2020-07-06,1582
2020-07-07,1644
2020-07-08,1694
2020-07-09,1720
2020-07-10,1774
2020-07-11,1810
2020-07-12,1845
2020-07-13,1903
2020-07-14,1968
2020-07-15,2050
2020-07-16,2112
2020-07-17,2178
2020-07-18,2220
2020-07-19,2260
2020-07-20,2373
2020-07-21,2490
2020-07-22,2588
2020-07-23,2702
2020-07-24,2807
2020-07-25,2893
2020-07-26,2939
2020-07-27,3059
2020-07-28,3179
2020-07-29,3288
2020-07-30,3441
2020-07-31,3543
2020-08-01,3596
2020-08-02,3648
2020-08-03,3813
2020-08-04,3979
2020-08-05,4106
2020-08-06,4251
2020-08-07,4411
2020-08-08,4523
2020-08-09,4606
