date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,6.0
2020-03-08,4.0
2020-03-09,0.0
2020-03-10,5.0
2020-03-11,2.0
2020-03-12,0.0
2020-03-13,12.0
2020-03-14,3.0
2020-03-15,11.0
2020-03-16,11.0
2020-03-17,12.0
2020-03-18,11.0
2020-03-19,18.0
2020-03-20,31.0
2020-03-21,30.0
2020-03-22,108.0
2020-03-23,35.0
2020-03-24,86.0
2020-03-25,0.0
2020-03-26,115.0
2020-03-27,87.0
2020-03-28,101.0
2020-03-29,55.0
2020-03-30,75.0
2020-03-31,234.0
2020-04-01,0.0
2020-04-02,79.0
2020-04-03,132.0
2020-04-04,186.0
2020-04-05,0.0
2020-04-06,103.0
2020-04-07,74.0
2020-04-08,87.0
2020-04-09,80.0
2020-04-10,180.0
2020-04-11,0.0
2020-04-12,167.0
2020-04-13,66.0
2020-04-14,69.0
2020-04-15,166.0
2020-04-16,128.0
2020-04-17,98.0
2020-04-18,89.0
2020-04-19,81.0
2020-04-20,102.0
2020-04-21,90.0
2020-04-22,113.0
2020-04-23,291.0
2020-04-24,172.0
2020-04-25,173.0
2020-04-26,112.0
2020-04-27,111.0
2020-04-28,124.0
2020-04-29,158.0
2020-04-30,143.0
2020-05-01,104.0
2020-05-02,149.0
2020-05-03,102.0
2020-05-04,104.0
2020-05-05,133.0
2020-05-06,188.0
2020-05-07,163.0
2020-05-08,240.0
2020-05-09,165.0
2020-05-10,258.0
2020-05-11,244.0
2020-05-12,285.0
2020-05-13,316.0
