date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,3
2020-03-30,3
2020-03-31,3
2020-04-01,4
2020-04-02,7
2020-04-03,7
2020-04-04,7
2020-04-05,7
2020-04-06,8
2020-04-07,8
2020-04-08,9
2020-04-09,10
2020-04-10,12
2020-04-11,13
2020-04-12,13
2020-04-13,14
2020-04-14,16
2020-04-15,17
2020-04-16,18
2020-04-17,19
2020-04-18,20
2020-04-19,20
2020-04-20,22
2020-04-21,24
2020-04-22,24
2020-04-23,24
2020-04-24,27
2020-04-25,28
2020-04-26,28
2020-04-27,29
2020-04-28,30
2020-04-29,30
2020-04-30,32
2020-05-01,33
2020-05-02,33
2020-05-03,35
2020-05-04,39
2020-05-05,40
2020-05-06,40
2020-05-07,42
2020-05-08,43
2020-05-09,44
2020-05-10,45
2020-05-11,46
2020-05-12,47
2020-05-13,48
2020-05-14,49
2020-05-15,52
2020-05-16,55
2020-05-17,60
2020-05-18,61
2020-05-19,64
2020-05-20,67
2020-05-21,70
2020-05-22,74
2020-05-23,77
2020-05-24,81
2020-05-25,87
2020-05-26,91
2020-05-27,98
2020-05-28,113
2020-05-29,120
2020-05-30,127
2020-05-31,131
2020-06-01,139
2020-06-02,158
2020-06-03,170
2020-06-04,176
2020-06-05,183
2020-06-06,190
2020-06-07,200
2020-06-08,211
2020-06-09,217
2020-06-10,227
2020-06-11,245
2020-06-12,258
2020-06-13,264
2020-06-14,269
2020-06-15,285
2020-06-16,293
2020-06-17,302
2020-06-18,309
2020-06-19,319
2020-06-20,332
2020-06-21,350
2020-06-22,360
2020-06-23,372
2020-06-24,386
2020-06-25,397
2020-06-26,410
2020-06-27,421
2020-06-28,426
2020-06-29,433
2020-06-30,443
2020-07-01,453
2020-07-02,459
2020-07-03,469
2020-07-04,477
2020-07-05,484
2020-07-06,491
2020-07-07,503
2020-07-08,521
2020-07-09,535
2020-07-10,546
2020-07-11,559
2020-07-12,565
2020-07-13,573
2020-07-14,581
2020-07-15,592
2020-07-16,607
2020-07-17,620
2020-07-18,631
2020-07-19,641
2020-07-20,650
2020-07-21,662
2020-07-22,678
2020-07-23,688
2020-07-24,692
2020-07-25,700
2020-07-26,705
2020-07-27,711
2020-07-28,719
2020-07-29,723
2020-07-30,728
2020-07-31,738
2020-08-01,749
2020-08-02,754
2020-08-03,762
2020-08-04,768
2020-08-05,770
2020-08-06,772
2020-08-07,777
2020-08-08,785
2020-08-09,791
2020-08-10,796
2020-08-11,803
2020-08-12,806
2020-08-13,809
2020-08-14,814
2020-08-15,817
2020-08-16,818
2020-08-17,824
2020-08-18,832
2020-08-19,833
2020-08-20,836
2020-08-21,842
2020-08-22,850
2020-08-23,852
2020-08-24,854
2020-08-25,858
2020-08-26,861
2020-08-27,864
2020-08-28,869
2020-08-29,872
2020-08-30,877
2020-08-31,879
2020-09-01,881
2020-09-02,884
2020-09-03,887
2020-09-04,891
2020-09-05,895
2020-09-06,897
2020-09-07,900
2020-09-08,903
2020-09-09,905
2020-09-10,906
2020-09-11,909
2020-09-12,911
2020-09-13,916
2020-09-14,919
2020-09-15,920
2020-09-16,923
2020-09-17,925
2020-09-18,926
2020-09-19,928
2020-09-20,930
2020-09-21,936
2020-09-22,938
2020-09-23,942
2020-09-24,945
2020-09-25,947
2020-09-26,948
2020-09-27,951
2020-09-28,957
2020-09-29,958
2020-09-30,959
2020-10-01,963
2020-10-02,966
2020-10-03,972
2020-10-04,977
2020-10-05,984
2020-10-06,990
2020-10-07,995
2020-10-08,1004
2020-10-09,1010
2020-10-10,1016
2020-10-11,1020
2020-10-12,1026
