date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,4.0
2020-01-27,5.0
2020-01-28,5.0
2020-01-29,6.0
2020-01-30,7.0
2020-01-31,7.0
2020-02-01,10.0
2020-02-02,10.0
2020-02-03,10.0
2020-02-04,11.0
2020-02-05,11.0
2020-02-06,12.0
2020-02-07,13.0
2020-02-08,13.0
2020-02-09,13.0
2020-02-10,13.0
2020-02-11,13.0
2020-02-12,13.0
2020-02-13,7.0
2020-02-14,7.0
2020-02-15,7.0
2020-02-16,7.0
2020-02-17,5.0
2020-02-18,5.0
2020-02-19,5.0
2020-02-20,5.0
2020-02-21,8.0
2020-02-22,11.0
2020-02-23,11.0
2020-02-24,11.0
2020-02-25,11.0
2020-02-26,11.0
2020-02-27,12.0
2020-02-28,12.0
2020-02-29,14.0
2020-03-01,15.0
2020-03-02,18.0
2020-03-03,27.0
2020-03-04,39.0
2020-03-05,32.0
2020-03-06,37.0
2020-03-07,40.0
2020-03-08,52.0
2020-03-09,67.0
2020-03-10,83.0
2020-03-11,104.0
2020-03-12,104.0
2020-03-13,174.0
2020-03-14,224.0
2020-03-15,271.0
2020-03-16,351.0
2020-03-17,424.0
2020-03-18,539.0
2020-03-19,649.0
2020-03-20,758.0
2020-03-21,1038.0
2020-03-22,1219.0
