date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,2.0
2020-01-31,2.0
2020-02-01,2.0
2020-02-02,2.0
2020-02-03,2.0
2020-02-04,2.0
2020-02-05,2.0
2020-02-06,2.0
2020-02-07,2.0
2020-02-08,2.0
2020-02-09,2.0
2020-02-10,2.0
2020-02-11,2.0
2020-02-12,2.0
2020-02-13,8.0
2020-02-14,8.0
2020-02-15,8.0
2020-02-16,8.0
2020-02-17,10.0
2020-02-18,10.0
2020-02-19,10.0
2020-02-20,10.0
2020-02-21,11.0
2020-02-22,11.0
2020-02-23,11.0
2020-02-24,11.0
2020-02-25,11.0
2020-02-26,11.0
2020-02-27,11.0
2020-02-28,11.0
2020-02-29,11.0
2020-03-01,11.0
2020-03-02,11.0
2020-03-03,11.0
2020-03-04,11.0
2020-03-05,21.0
2020-03-06,21.0
2020-03-07,21.0
2020-03-08,21.0
2020-03-09,21.0
2020-03-10,21.0
2020-03-11,21.0
2020-03-12,21.0
2020-03-13,23.0
2020-03-14,23.0
2020-03-15,23.0
2020-03-16,23.0
2020-03-17,23.0
2020-03-18,23.0
2020-03-19,26.0
2020-03-20,26.0
2020-03-21,26.0
2020-03-22,88.0
