date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,4
2020-04-05,4
2020-04-06,5
2020-04-07,6
2020-04-08,7
2020-04-09,8
2020-04-10,8
2020-04-11,8
2020-04-12,8
2020-04-13,8
2020-04-14,8
2020-04-15,8
2020-04-16,8
2020-04-17,9
2020-04-18,9
2020-04-19,9
2020-04-20,9
2020-04-21,9
2020-04-22,9
2020-04-23,11
2020-04-24,11
2020-04-25,11
2020-04-26,11
2020-04-27,11
2020-04-28,11
2020-04-29,11
2020-04-30,11
2020-05-01,11
2020-05-02,11
2020-05-03,11
2020-05-04,11
2020-05-05,11
2020-05-06,11
2020-05-07,11
2020-05-08,11
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,11
2020-05-13,11
2020-05-14,11
2020-05-15,11
2020-05-16,11
2020-05-17,11
2020-05-18,11
2020-05-19,11
2020-05-20,11
2020-05-21,11
2020-05-22,11
2020-05-23,11
2020-05-24,11
2020-05-25,11
2020-05-26,11
2020-05-27,11
2020-05-28,11
2020-05-29,11
2020-05-30,11
2020-05-31,11
2020-06-01,11
2020-06-02,11
2020-06-03,11
2020-06-04,11
2020-06-05,11
2020-06-06,11
2020-06-07,11
2020-06-08,11
2020-06-09,11
2020-06-10,11
2020-06-11,11
2020-06-12,11
2020-06-13,11
2020-06-14,11
2020-06-15,11
2020-06-16,11
2020-06-17,11
2020-06-18,11
2020-06-19,11
2020-06-20,11
2020-06-21,11
2020-06-22,11
2020-06-23,11
2020-06-24,11
2020-06-25,11
2020-06-26,11
2020-06-27,11
2020-06-28,11
2020-06-29,11
2020-06-30,11
2020-07-01,11
2020-07-02,11
2020-07-03,11
2020-07-04,11
2020-07-05,11
2020-07-06,11
2020-07-07,11
2020-07-08,11
2020-07-09,11
2020-07-10,11
2020-07-11,11
2020-07-12,11
2020-07-13,11
2020-07-14,11
2020-07-15,11
2020-07-16,11
2020-07-17,11
2020-07-18,11
2020-07-19,11
2020-07-20,11
2020-07-21,11
2020-07-22,11
2020-07-23,11
2020-07-24,11
2020-07-25,11
2020-07-26,11
2020-07-27,11
2020-07-28,11
2020-07-29,11
2020-07-30,14
2020-07-31,14
2020-08-01,14
2020-08-02,14
2020-08-03,14
2020-08-04,14
2020-08-05,14
2020-08-06,14
2020-08-07,14
2020-08-08,14
2020-08-09,15
2020-08-10,15
2020-08-11,15
2020-08-12,15
2020-08-13,15
2020-08-14,17
2020-08-15,17
2020-08-16,18
2020-08-17,19
2020-08-18,20
2020-08-19,22
2020-08-20,23
2020-08-21,27
2020-08-22,27
2020-08-23,29
2020-08-24,44
2020-08-25,46
2020-08-26,48
2020-08-27,48
2020-08-28,50
2020-08-29,50
2020-08-30,50
2020-08-31,50
2020-09-01,50
2020-09-02,50
2020-09-03,50
2020-09-04,50
2020-09-05,55
2020-09-06,56
2020-09-07,58
2020-09-08,59
2020-09-09,63
2020-09-10,63
2020-09-11,65
2020-09-12,67
2020-09-13,67
2020-09-14,68
2020-09-15,69
2020-09-16,69
2020-09-17,69
2020-09-18,69
2020-09-19,73
2020-09-20,74
2020-09-21,75
2020-09-22,77
2020-09-23,80
2020-09-24,86
2020-09-25,89
2020-09-26,89
2020-09-27,89
2020-09-28,89
2020-09-29,91
2020-09-30,96
2020-10-01,96
2020-10-02,96
2020-10-03,96
2020-10-04,96
2020-10-05,96
2020-10-06,100
2020-10-07,102
2020-10-08,102
2020-10-09,102
2020-10-10,106
2020-10-11,107
2020-10-12,108
