date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,23
2020-02-26,33
2020-02-27,33
2020-02-28,36
2020-02-29,41
2020-03-01,47
2020-03-02,49
2020-03-03,49
2020-03-04,52
2020-03-05,55
2020-03-06,60
2020-03-07,85
2020-03-08,85
2020-03-09,95
2020-03-10,110
2020-03-11,195
2020-03-12,195
2020-03-13,195
2020-03-14,210
2020-03-15,214
2020-03-16,214
2020-03-17,228
2020-03-18,256
2020-03-19,278
2020-03-20,285
2020-03-21,305
2020-03-22,334
2020-03-23,377
2020-03-24,392
2020-03-25,419
2020-03-26,458
2020-03-27,466
2020-03-28,476
2020-03-29,499
2020-03-30,515
2020-03-31,567
2020-04-01,569
2020-04-02,643
2020-04-03,672
2020-04-04,688
2020-04-05,700
2020-04-06,756
2020-04-07,811
2020-04-08,823
2020-04-09,887
2020-04-10,925
2020-04-11,1040
2020-04-12,1136
2020-04-13,1361
2020-04-14,1528
2020-04-15,1671
2020-04-16,1700
2020-04-17,1740
2020-04-18,1773
2020-04-19,1881
2020-04-20,1907
2020-04-21,1973
2020-04-22,2027
2020-04-23,2217
2020-04-24,2518
2020-04-25,2588
2020-04-26,2647
2020-04-27,2723
2020-04-28,2811
2020-04-29,2921
2020-04-30,3040
2020-05-01,3170
2020-05-02,3284
2020-05-03,3383
2020-05-04,3533
2020-05-05,3720
2020-05-06,3934
2020-05-07,4199
2020-05-08,4444
2020-05-09,4774
2020-05-10,4941
2020-05-11,5236
2020-05-12,5531
2020-05-13,5816
2020-05-14,6198
2020-05-15,6583
2020-05-16,6747
2020-05-17,6956
2020-05-18,7184
2020-05-19,7532
2020-05-20,7888
2020-05-21,8174
2020-05-22,8414
2020-05-23,8802
2020-05-24,9138
2020-05-25,9171
2020-05-26,9366
2020-05-27,9692
2020-05-28,10052
2020-05-29,10449
2020-05-30,10793
2020-05-31,11398
2020-06-01,11871
2020-06-02,12311
2020-06-03,12815
2020-06-04,13296
2020-06-05,13835
2020-06-06,14383
2020-06-07,14763
2020-06-08,15417
2020-06-09,15731
2020-06-10,16200
2020-06-11,16667
2020-06-12,17269
2020-06-13,17713
2020-06-14,18227
2020-06-15,19013
2020-06-16,19553
2020-06-17,19961
2020-06-18,20430
2020-06-19,20916
2020-06-20,21331
2020-06-21,21764
2020-06-22,22407
2020-06-23,23062
2020-06-24,23570
2020-06-25,24081
2020-06-26,24805
2020-06-27,25267
2020-06-28,25705
2020-06-29,26239
2020-06-30,26758
2020-07-01,27414
2020-07-02,27837
2020-07-03,28410
2020-07-04,28857
2020-07-05,29367
2020-07-06,29821
2020-07-07,30321
2020-07-08,30931
2020-07-09,31528
2020-07-10,32039
2020-07-11,32470
2020-07-12,32941
2020-07-13,33476
2020-07-14,34078
2020-07-15,34560
2020-07-16,35084
2020-07-17,35473
2020-07-18,36004
2020-07-19,36422
2020-07-20,36936
2020-07-21,37316
2020-07-22,37637
2020-07-23,37996
2020-07-24,38458
2020-07-25,38747
2020-07-26,39131
2020-07-27,39482
2020-07-28,39921
2020-07-29,40311
2020-07-30,40755
2020-07-31,40982
2020-08-01,41190
2020-08-02,41536
2020-08-03,41835
2020-08-04,42132
2020-08-05,42514
2020-08-06,42889
2020-08-07,43307
2020-08-08,43629
2020-08-09,44011
