date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,1
2020-04-01,2
2020-04-02,4
2020-04-03,4
2020-04-04,5
2020-04-05,8
2020-04-06,13
2020-04-07,13
2020-04-08,13
2020-04-09,16
2020-04-10,19
2020-04-11,23
2020-04-12,26
2020-04-13,29
2020-04-14,33
2020-04-15,36
2020-04-16,40
2020-04-17,42
2020-04-18,45
2020-04-19,47
2020-04-20,51
2020-04-21,55
2020-04-22,58
2020-04-23,60
2020-04-24,63
2020-04-25,67
2020-04-26,72
2020-04-27,75
2020-04-28,79
2020-04-29,84
2020-04-30,89
2020-05-01,93
2020-05-02,97
2020-05-03,99
2020-05-04,103
2020-05-05,107
2020-05-06,112
2020-05-07,116
2020-05-08,121
2020-05-09,126
2020-05-10,131
2020-05-11,135
2020-05-12,142
2020-05-13,146
2020-05-14,151
2020-05-15,156
2020-05-16,160
2020-05-17,165
2020-05-18,171
2020-05-19,175
2020-05-20,179
2020-05-21,185
2020-05-22,190
2020-05-23,194
2020-05-24,199
2020-05-25,204
2020-05-26,208
2020-05-27,214
2020-05-28,219
2020-05-29,224
2020-05-30,229
2020-05-31,235
2020-06-01,240
2020-06-02,243
2020-06-03,248
2020-06-04,253
2020-06-05,259
2020-06-06,263
2020-06-07,269
2020-06-08,276
2020-06-09,282
2020-06-10,288
2020-06-11,293
2020-06-12,298
2020-06-13,303
2020-06-14,308
2020-06-15,312
2020-06-16,318
2020-06-17,324
2020-06-18,331
2020-06-19,337
2020-06-20,343
2020-06-21,346
2020-06-22,351
2020-06-23,357
2020-06-24,362
2020-06-25,367
2020-06-26,373
2020-06-27,377
2020-06-28,383
2020-06-29,387
2020-06-30,392
2020-07-01,398
2020-07-02,405
2020-07-03,412
2020-07-04,418
2020-07-05,423
2020-07-06,429
2020-07-07,436
2020-07-08,443
2020-07-09,449
2020-07-10,454
2020-07-11,459
2020-07-12,464
2020-07-13,468
2020-07-14,474
2020-07-15,480
2020-07-16,485
2020-07-17,491
2020-07-18,495
2020-07-19,499
2020-07-20,503
2020-07-21,507
2020-07-22,513
2020-07-23,519
2020-07-24,524
2020-07-25,530
2020-07-26,534
2020-07-27,538
2020-07-28,543
2020-07-29,548
2020-07-30,553
2020-07-31,559
2020-08-01,563
2020-08-02,567
2020-08-03,571
2020-08-04,574
2020-08-05,577
2020-08-06,580
2020-08-07,583
2020-08-08,585
