date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,1.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,5.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,3.0
2020-03-11,0.0
2020-03-12,3.0
2020-03-13,15.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,9.0
2020-03-17,0.0
2020-03-18,15.0
2020-03-19,0.0
2020-03-20,18.0
2020-03-21,7.0
2020-03-22,0.0
2020-03-23,5.0
2020-03-24,0.0
2020-03-25,5.0
2020-03-26,0.0
2020-03-27,8.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,58.0
2020-03-31,0.0
2020-04-01,11.0
2020-04-02,141.0
2020-04-03,47.0
2020-04-04,89.0
2020-04-05,122.0
2020-04-06,138.0
2020-04-07,161.0
2020-04-08,205.0
2020-04-09,420.0
2020-04-10,495.0
2020-04-11,245.0
2020-04-12,352.0
2020-04-13,341.0
2020-04-14,362.0
2020-04-15,447.0
2020-04-16,476.0
2020-04-17,575.0
2020-04-18,518.0
2020-04-19,510.0
2020-04-20,457.0
2020-04-21,459.0
2020-04-22,558.0
2020-04-23,741.0
2020-04-24,751.0
2020-04-25,817.0
2020-04-26,873.0
2020-04-27,826.0
2020-04-28,919.0
2020-04-29,973.0
2020-04-30,846.0
2020-05-01,890.0
2020-05-02,911.0
2020-05-03,877.0
2020-05-04,784.0
2020-05-05,861.0
2020-05-06,905.0
2020-05-07,913.0
2020-05-08,933.0
2020-05-09,951.0
2020-05-10,921.0
2020-05-11,933.0
2020-05-12,967.0
2020-05-13,952.0
2020-05-14,947.0
2020-05-15,958.0
2020-05-16,951.0
2020-05-17,969.0
2020-05-18,922.0
2020-05-19,936.0
2020-05-20,918.0
2020-05-21,945.0
2020-05-22,932.0
2020-05-23,941.0
2020-05-24,954.0
2020-05-25,946.0
2020-05-26,915.0
2020-05-27,897.0
2020-05-28,902.0
2020-05-29,906.0
2020-05-30,894.0
