date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,1
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,4
2020-04-04,4
2020-04-05,5
2020-04-06,7
2020-04-07,7
2020-04-08,8
2020-04-09,9
2020-04-10,10
2020-04-11,13
2020-04-12,14
2020-04-13,18
2020-04-14,18
2020-04-15,18
2020-04-16,18
2020-04-17,18
2020-04-18,18
2020-04-19,18
2020-04-20,18
2020-04-21,18
2020-04-22,18
2020-04-23,18
2020-04-24,18
2020-04-25,18
2020-04-26,18
2020-04-27,18
2020-04-28,18
2020-04-29,18
2020-04-30,18
2020-05-01,18
2020-05-02,18
2020-05-03,18
2020-05-04,18
2020-05-05,18
2020-05-06,18
2020-05-07,18
2020-05-08,18
2020-05-09,18
2020-05-10,18
2020-05-11,18
2020-05-12,18
2020-05-13,18
2020-05-14,18
2020-05-15,18
2020-05-16,18
2020-05-17,18
2020-05-18,18
2020-05-19,18
2020-05-20,18
2020-05-21,18
2020-05-22,18
2020-05-23,18
2020-05-24,18
2020-05-25,18
2020-05-26,18
2020-05-27,18
2020-05-28,18
2020-05-29,18
2020-05-30,18
2020-05-31,18
2020-06-01,18
2020-06-02,18
2020-06-03,18
2020-06-04,18
2020-06-05,19
2020-06-06,19
2020-06-07,19
2020-06-08,19
2020-06-09,20
2020-06-10,20
2020-06-11,20
2020-06-12,20
2020-06-13,20
2020-06-14,20
2020-06-15,21
2020-06-16,22
2020-06-17,22
2020-06-18,22
2020-06-19,22
2020-06-20,22
2020-06-21,22
2020-06-22,23
2020-06-23,23
2020-06-24,23
2020-06-25,23
2020-06-26,24
2020-06-27,24
2020-06-28,24
2020-06-29,24
2020-06-30,24
2020-07-01,28
2020-07-02,28
2020-07-03,30
2020-07-04,30
2020-07-05,30
2020-07-06,30
2020-07-07,30
2020-07-08,30
2020-07-09,30
2020-07-10,37
2020-07-11,37
2020-07-12,37
2020-07-13,37
2020-07-14,39
2020-07-15,39
2020-07-16,40
2020-07-17,40
2020-07-18,40
2020-07-19,40
2020-07-20,40
2020-07-21,42
2020-07-22,43
2020-07-23,47
2020-07-24,48
2020-07-25,48
2020-07-26,48
2020-07-27,48
2020-07-28,48
2020-07-29,48
2020-07-30,48
2020-07-31,48
2020-08-01,56
2020-08-02,57
2020-08-03,57
2020-08-04,57
2020-08-05,86
2020-08-06,114
2020-08-07,114
2020-08-08,146
2020-08-09,153
2020-08-10,177
