date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,3
2020-03-28,3
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,5
2020-04-11,5
2020-04-12,5
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,6
2020-04-22,6
2020-04-23,7
2020-04-24,7
2020-04-25,7
2020-04-26,7
2020-04-27,7
2020-04-28,7
2020-04-29,7
2020-04-30,7
2020-05-01,7
2020-05-02,7
2020-05-03,7
2020-05-04,7
2020-05-05,7
2020-05-06,7
2020-05-07,7
2020-05-08,7
2020-05-09,7
2020-05-10,7
2020-05-11,9
2020-05-12,11
2020-05-13,15
2020-05-14,20
2020-05-15,21
2020-05-16,21
2020-05-17,21
2020-05-18,21
2020-05-19,21
2020-05-20,21
2020-05-21,21
2020-05-22,21
2020-05-23,24
2020-05-24,24
2020-05-25,27
2020-05-26,27
2020-05-27,28
2020-05-28,31
2020-05-29,31
2020-05-30,33
2020-05-31,43
2020-06-01,43
2020-06-02,47
2020-06-03,47
2020-06-04,47
2020-06-05,48
2020-06-06,48
2020-06-07,59
2020-06-08,59
2020-06-09,59
2020-06-10,59
2020-06-11,62
2020-06-12,62
2020-06-13,66
2020-06-14,66
2020-06-15,67
2020-06-16,67
2020-06-17,67
2020-06-18,67
2020-06-19,68
2020-06-20,68
2020-06-21,68
2020-06-22,68
2020-06-23,70
2020-06-24,70
2020-06-25,70
2020-06-26,70
2020-06-27,75
2020-06-28,76
2020-06-29,77
2020-06-30,77
2020-07-01,77
2020-07-02,77
2020-07-03,77
2020-07-04,78
2020-07-05,80
2020-07-06,80
2020-07-07,80
2020-07-08,80
2020-07-09,80
2020-07-10,80
2020-07-11,82
2020-07-12,84
2020-07-13,84
2020-07-14,84
2020-07-15,84
2020-07-16,86
2020-07-17,87
2020-07-18,87
2020-07-19,89
2020-07-20,90
2020-07-21,92
2020-07-22,92
2020-07-23,92
2020-07-24,92
2020-07-25,92
2020-07-26,95
2020-07-27,99
2020-07-28,99
2020-07-29,99
2020-07-30,101
2020-07-31,101
2020-08-01,102
2020-08-02,102
2020-08-03,103
2020-08-04,105
2020-08-05,105
2020-08-06,108
2020-08-07,108
2020-08-08,108
2020-08-09,110
2020-08-10,110
