date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,1
2020-03-30,4
2020-03-31,6
2020-04-01,7
2020-04-02,8
2020-04-03,9
2020-04-04,10
2020-04-05,10
2020-04-06,11
2020-04-07,14
2020-04-08,15
2020-04-09,18
2020-04-10,19
2020-04-11,20
2020-04-12,24
2020-04-13,27
2020-04-14,28
2020-04-15,28
2020-04-16,29
2020-04-17,31
2020-04-18,31
2020-04-19,32
2020-04-20,33
2020-04-21,34
2020-04-22,37
2020-04-23,43
2020-04-24,44
2020-04-25,46
2020-04-26,50
2020-04-27,53
2020-04-28,55
2020-04-29,59
2020-04-30,62
2020-05-01,66
2020-05-02,71
2020-05-03,76
2020-05-04,82
2020-05-05,86
2020-05-06,91
2020-05-07,102
2020-05-08,106
2020-05-09,114
2020-05-10,118
2020-05-11,122
2020-05-12,128
2020-05-13,142
2020-05-14,152
2020-05-15,164
2020-05-16,165
2020-05-17,169
2020-05-18,174
2020-05-19,189
2020-05-20,199
2020-05-21,215
2020-05-22,230
2020-05-23,240
2020-05-24,250
2020-05-25,261
2020-05-26,274
2020-05-27,280
2020-05-28,293
2020-05-29,300
2020-05-30,310
2020-05-31,313
2020-06-01,343
2020-06-02,376
2020-06-03,400
2020-06-04,415
2020-06-05,427
2020-06-06,454
2020-06-07,465
2020-06-08,475
2020-06-09,487
2020-06-10,512
2020-06-11,533
2020-06-12,559
2020-06-13,585
2020-06-14,611
2020-06-15,632
2020-06-16,659
2020-06-17,679
2020-06-18,697
2020-06-19,715
2020-06-20,740
2020-06-21,773
2020-06-22,820
2020-06-23,846
2020-06-24,876
2020-06-25,913
2020-06-26,934
2020-06-27,970
2020-06-28,1014
2020-06-29,1071
2020-06-30,1123
2020-07-01,1201
2020-07-02,1271
2020-07-03,1320
2020-07-04,1378
2020-07-05,1434
2020-07-06,1476
2020-07-07,1530
2020-07-08,1577
2020-07-09,1638
2020-07-10,1702
2020-07-11,1754
2020-07-12,1807
2020-07-13,1866
2020-07-14,1898
2020-07-15,1942
2020-07-16,1984
2020-07-17,2049
2020-07-18,2106
2020-07-19,2151
2020-07-20,2218
2020-07-21,2273
2020-07-22,2328
2020-07-23,2407
2020-07-24,2473
2020-07-25,2535
2020-07-26,2583
2020-07-27,2647
2020-07-28,2720
2020-07-29,2808
2020-07-30,2894
2020-07-31,2977
2020-08-01,3064
2020-08-02,3153
2020-08-03,3228
2020-08-04,3320
2020-08-05,3385
2020-08-06,3465
2020-08-07,3524
2020-08-08,3587
2020-08-09,3640
