date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,1
2020-03-11,11
2020-03-12,11
2020-03-13,37
2020-03-14,40
2020-03-15,50
2020-03-16,54
2020-03-17,56
2020-03-18,68
2020-03-19,75
2020-03-20,78
2020-03-21,83
2020-03-22,88
2020-03-23,91
2020-03-24,104
2020-03-25,109
2020-03-26,114
2020-03-27,115
2020-03-28,120
2020-03-29,126
2020-03-30,127
2020-03-31,129
2020-04-01,131
2020-04-02,133
2020-04-03,134
2020-04-04,135
2020-04-05,135
2020-04-06,135
2020-04-07,135
2020-04-08,135
2020-04-09,135
2020-04-10,136
2020-04-11,136
2020-04-12,136
2020-04-13,136
2020-04-14,136
2020-04-15,136
2020-04-16,136
2020-04-17,136
2020-04-18,137
2020-04-19,138
2020-04-20,138
2020-04-21,138
2020-04-22,138
2020-04-23,138
2020-04-24,138
2020-04-25,138
2020-04-26,138
2020-04-27,138
2020-04-28,138
2020-04-29,138
2020-04-30,138
2020-05-01,138
2020-05-02,138
2020-05-03,138
2020-05-04,138
2020-05-05,138
2020-05-06,139
2020-05-07,141
2020-05-08,141
2020-05-09,141
2020-05-10,141
2020-05-11,141
2020-05-12,141
2020-05-13,141
2020-05-14,141
2020-05-15,141
2020-05-16,141
2020-05-17,141
2020-05-18,141
2020-05-19,141
2020-05-20,141
2020-05-21,141
2020-05-22,141
2020-05-23,141
2020-05-24,141
2020-05-25,141
2020-05-26,141
2020-05-27,141
2020-05-28,141
2020-05-29,141
2020-05-30,141
2020-05-31,141
2020-06-01,141
2020-06-02,141
2020-06-03,141
2020-06-04,141
2020-06-05,141
2020-06-06,141
2020-06-07,141
2020-06-08,141
2020-06-09,141
2020-06-10,141
2020-06-11,141
2020-06-12,141
2020-06-13,141
2020-06-14,141
2020-06-15,141
2020-06-16,141
2020-06-17,141
2020-06-18,141
2020-06-19,141
2020-06-20,141
2020-06-21,141
2020-06-22,141
2020-06-23,141
2020-06-24,141
2020-06-25,141
2020-06-26,141
2020-06-27,141
2020-06-28,141
2020-06-29,141
2020-06-30,141
2020-07-01,141
2020-07-02,141
2020-07-03,141
2020-07-04,141
2020-07-05,141
2020-07-06,141
2020-07-07,141
2020-07-08,141
2020-07-09,141
2020-07-10,141
2020-07-11,141
2020-07-12,141
2020-07-13,141
2020-07-14,141
2020-07-15,141
2020-07-16,141
2020-07-17,141
2020-07-18,141
2020-07-19,141
2020-07-20,141
2020-07-21,141
2020-07-22,141
2020-07-23,141
2020-07-24,141
2020-07-25,141
2020-07-26,141
2020-07-27,141
2020-07-28,141
2020-07-29,141
2020-07-30,141
2020-07-31,141
2020-08-01,141
2020-08-02,141
2020-08-03,141
2020-08-04,141
2020-08-05,141
2020-08-06,141
2020-08-07,142
2020-08-08,142
2020-08-09,142
