date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,8
2020-03-28,8
2020-03-29,10
2020-03-30,14
2020-03-31,15
2020-04-01,15
2020-04-02,20
2020-04-03,20
2020-04-04,21
2020-04-05,21
2020-04-06,22
2020-04-07,22
2020-04-08,22
2020-04-09,23
2020-04-10,27
2020-04-11,38
2020-04-12,41
2020-04-13,62
2020-04-14,63
2020-04-15,74
2020-04-16,85
2020-04-17,88
2020-04-18,98
2020-04-19,111
2020-04-20,119
2020-04-21,121
2020-04-22,123
2020-04-23,139
2020-04-24,144
2020-04-25,146
2020-04-26,146
2020-04-27,146
2020-04-28,150
2020-04-29,150
2020-04-30,151
2020-05-01,151
2020-05-02,151
2020-05-03,155
2020-05-04,161
2020-05-05,161
2020-05-06,161
2020-05-07,176
2020-05-08,177
2020-05-09,178
2020-05-10,180
2020-05-11,180
2020-05-12,180
2020-05-13,181
