date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,1
2020-03-21,3
2020-03-22,3
2020-03-23,3
2020-03-24,3
2020-03-25,4
2020-03-26,4
2020-03-27,5
2020-03-28,5
2020-03-29,6
2020-03-30,6
2020-03-31,6
2020-04-01,6
2020-04-02,6
2020-04-03,6
2020-04-04,7
2020-04-05,7
2020-04-06,7
2020-04-07,7
2020-04-08,7
2020-04-09,7
2020-04-10,7
2020-04-11,8
2020-04-12,8
2020-04-13,10
2020-04-14,11
2020-04-15,56
2020-04-16,56
2020-04-17,56
2020-04-18,58
2020-04-19,61
2020-04-20,67
2020-04-21,68
2020-04-22,73
2020-04-23,82
2020-04-24,88
2020-04-25,90
2020-04-26,106
2020-04-27,109
2020-04-28,114
2020-04-29,114
2020-04-30,121
2020-05-01,122
2020-05-02,152
2020-05-03,165
2020-05-04,175
2020-05-05,186
2020-05-06,191
2020-05-07,218
2020-05-08,230
2020-05-09,236
2020-05-10,246
2020-05-11,260
2020-05-12,267
2020-05-13,289
2020-05-14,315
2020-05-15,326
2020-05-16,328
2020-05-17,328
2020-05-18,328
2020-05-19,335
2020-05-20,349
2020-05-21,356
2020-05-22,362
2020-05-23,371
2020-05-24,380
2020-05-25,390
2020-05-26,390
2020-05-27,390
2020-05-28,390
2020-05-29,405
2020-05-30,421
2020-05-31,435
2020-06-01,458
2020-06-02,466
2020-06-03,477
2020-06-04,502
2020-06-05,536
2020-06-06,542
2020-06-07,554
2020-06-08,567
2020-06-09,585
2020-06-10,615
2020-06-11,657
2020-06-12,697
2020-06-13,726
2020-06-14,750
2020-06-15,760
2020-06-16,781
2020-06-17,792
2020-06-18,823
2020-06-19,848
2020-06-20,863
2020-06-21,890
2020-06-22,944
2020-06-23,982
2020-06-24,999
2020-06-25,1003
2020-06-26,1027
2020-06-27,1091
2020-06-28,1155
2020-06-29,1165
2020-06-30,1227
2020-07-01,1267
2020-07-02,1301
2020-07-03,1382
2020-07-04,1421
2020-07-05,1451
2020-07-06,1463
2020-07-07,1499
2020-07-08,1542
2020-07-09,1552
2020-07-10,1591
2020-07-11,1623
2020-07-12,1623
2020-07-13,1698
2020-07-14,1722
2020-07-15,1780
2020-07-16,1894
2020-07-17,1939
2020-07-18,2014
2020-07-19,2045
2020-07-20,2071
2020-07-21,2107
2020-07-22,2154
2020-07-23,2190
2020-07-24,2220
2020-07-25,2258
2020-07-26,2307
2020-07-27,2328
2020-07-28,2354
2020-07-29,2373
2020-07-30,2418
2020-07-31,2451
2020-08-01,2480
2020-08-02,2547
2020-08-03,2583
2020-08-04,2631
2020-08-05,2689
2020-08-06,2734
2020-08-07,2780
2020-08-08,2835
2020-08-09,2858
2020-08-10,2883
2020-08-11,2920
2020-08-12,3000
2020-08-13,3073
2020-08-14,3136
2020-08-15,3163
2020-08-16,3179
2020-08-17,3203
2020-08-18,3253
2020-08-19,3321
2020-08-20,3368
2020-08-21,3412
2020-08-22,3455
2020-08-23,3509
2020-08-24,3532
2020-08-25,3568
2020-08-26,3630
2020-08-27,3699
2020-08-28,3745
2020-08-29,3778
2020-08-30,3852
2020-08-31,3884
2020-09-01,3970
2020-09-02,4048
2020-09-03,4125
2020-09-04,4200
2020-09-05,4275
2020-09-06,4330
2020-09-07,4358
2020-09-08,4400
2020-09-09,4473
2020-09-10,4557
2020-09-11,4651
2020-09-12,4711
2020-09-13,4813
2020-09-14,4839
2020-09-15,4904
2020-09-16,4978
2020-09-17,5063
2020-09-18,5141
2020-09-19,5186
2020-09-20,5257
2020-09-21,5281
2020-09-22,5337
2020-09-23,5412
2020-09-24,5479
2020-09-25,5628
2020-09-26,5701
2020-09-27,5771
2020-09-28,5817
2020-09-29,5900
2020-09-30,6024
2020-10-01,6126
2020-10-02,6205
2020-10-03,6296
2020-10-04,6360
2020-10-05,6433
2020-10-06,6518
2020-10-07,6624
2020-10-08,6717
2020-10-09,6809
2020-10-10,6913
2020-10-11,7072
2020-10-12,7155
