date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,1
2020-03-26,1
2020-03-27,2
2020-03-28,2
2020-03-29,6
2020-03-30,6
2020-03-31,6
2020-04-01,6
2020-04-02,7
2020-04-03,8
2020-04-04,9
2020-04-05,9
2020-04-06,9
2020-04-07,9
2020-04-08,10
2020-04-09,10
2020-04-10,12
2020-04-11,12
2020-04-12,12
2020-04-13,12
2020-04-14,14
2020-04-15,17
2020-04-16,22
2020-04-17,22
2020-04-18,22
2020-04-19,42
2020-04-20,42
2020-04-21,43
2020-04-22,43
2020-04-23,43
2020-04-24,43
2020-04-25,53
2020-04-26,56
2020-04-27,58
2020-04-28,58
2020-04-29,61
2020-04-30,61
2020-05-01,61
2020-05-02,64
2020-05-03,64
2020-05-04,64
2020-05-05,64
2020-05-06,108
2020-05-07,108
2020-05-08,108
2020-05-09,108
2020-05-10,114
2020-05-11,125
2020-05-12,125
2020-05-13,136
2020-05-14,139
2020-05-15,140
2020-05-16,140
2020-05-17,140
2020-05-18,140
2020-05-19,140
2020-05-20,146
2020-05-21,156
2020-05-22,159
2020-05-23,159
2020-05-24,165
2020-05-25,165
2020-05-26,175
2020-05-27,175
2020-05-28,175
2020-05-29,177
2020-05-30,191
2020-05-31,191
2020-06-01,199
2020-06-02,200
2020-06-03,200
2020-06-04,203
2020-06-05,205
2020-06-06,212
2020-06-07,212
2020-06-08,212
2020-06-09,212
2020-06-10,212
2020-06-11,212
2020-06-12,212
2020-06-13,212
2020-06-14,212
2020-06-15,276
2020-06-16,276
2020-06-17,276
2020-06-18,276
2020-06-19,282
2020-06-20,301
2020-06-21,303
2020-06-22,308
2020-06-23,313
2020-06-24,313
2020-06-25,313
2020-06-26,313
2020-06-27,313
2020-06-28,313
2020-06-29,313
2020-06-30,313
2020-07-01,313
2020-07-02,313
2020-07-03,313
2020-07-04,313
2020-07-05,313
2020-07-06,313
2020-07-07,359
2020-07-08,359
2020-07-09,359
2020-07-10,359
2020-07-11,359
2020-07-12,359
2020-07-13,359
2020-07-14,359
2020-07-15,359
2020-07-16,373
2020-07-17,373
2020-07-18,373
2020-07-19,373
2020-07-20,373
2020-07-21,382
2020-07-22,382
2020-07-23,382
2020-07-24,385
2020-07-25,385
2020-07-26,385
2020-07-27,391
2020-07-28,391
2020-07-29,391
2020-07-30,391
2020-07-31,391
2020-08-01,391
2020-08-02,391
2020-08-03,391
2020-08-04,391
2020-08-05,391
2020-08-06,391
2020-08-07,391
2020-08-08,395
2020-08-09,395
