date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,1.0
2020-01-27,1.0
2020-01-28,2.0
2020-01-29,2.0
2020-01-30,2.0
2020-01-31,4.0
2020-02-01,4.0
2020-02-02,4.0
2020-02-03,4.0
2020-02-04,4.0
2020-02-05,5.0
2020-02-06,5.0
2020-02-07,7.0
2020-02-08,7.0
2020-02-09,7.0
2020-02-10,7.0
2020-02-11,7.0
2020-02-12,6.0
2020-02-13,6.0
2020-02-14,6.0
2020-02-15,6.0
2020-02-16,6.0
2020-02-17,7.0
2020-02-18,7.0
2020-02-19,7.0
2020-02-20,7.0
2020-02-21,6.0
2020-02-22,6.0
2020-02-23,6.0
2020-02-24,7.0
2020-02-25,8.0
2020-02-26,8.0
2020-02-27,7.0
2020-02-28,8.0
2020-02-29,14.0
2020-03-01,18.0
2020-03-02,21.0
2020-03-03,24.0
2020-03-04,27.0
2020-03-05,31.0
2020-03-06,43.0
2020-03-07,46.0
2020-03-08,56.0
2020-03-09,68.0
2020-03-10,70.0
2020-03-11,99.0
2020-03-12,108.0
2020-03-13,184.0
2020-03-14,189.0
2020-03-15,243.0
2020-03-16,402.0
2020-03-17,464.0
2020-03-18,640.0
2020-03-19,782.0
2020-03-20,922.0
2020-03-21,1249.0
2020-03-22,1434.0
2020-03-23,1439.0
