date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,1.0
2020-01-27,0.0
2020-01-28,1.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,1.0
2020-02-06,0.0
2020-02-07,2.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,1.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,0.0
2020-02-27,2.0
2020-02-28,1.0
2020-02-29,6.0
2020-03-01,4.0
2020-03-02,3.0
2020-03-03,3.0
2020-03-04,3.0
2020-03-05,4.0
2020-03-06,12.0
2020-03-07,5.0
2020-03-08,10.0
2020-03-09,13.0
2020-03-10,2.0
2020-03-11,29.0
2020-03-12,9.0
2020-03-13,76.0
2020-03-14,5.0
2020-03-15,54.0
2020-03-16,163.0
2020-03-17,63.0
2020-03-18,179.0
2020-03-19,143.0
2020-03-20,143.0
2020-03-21,334.0
2020-03-22,192.0
2020-03-23,619.0
2020-03-24,702.0
2020-03-25,461.0
2020-03-26,791.0
2020-03-27,640.0
2020-03-28,894.0
2020-03-29,704.0
2020-03-30,1118.0
2020-03-31,1129.0
