date,confirmed
2020-01-22,548
2020-01-23,643
2020-01-24,920
2020-01-25,1406
2020-01-26,2075
2020-01-27,2877
2020-01-28,5509
2020-01-29,6087
2020-01-30,8141
2020-01-31,9802
2020-02-01,11891
2020-02-02,16630
2020-02-03,19716
2020-02-04,23707
2020-02-05,27440
2020-02-06,30587
2020-02-07,34110
2020-02-08,36814
2020-02-09,39829
2020-02-10,42354
2020-02-11,44386
2020-02-12,44759
2020-02-13,59895
2020-02-14,66358
2020-02-15,68413
2020-02-16,70513
2020-02-17,72434
2020-02-18,74211
2020-02-19,74619
2020-02-20,75077
2020-02-21,75550
2020-02-22,77001
2020-02-23,77022
2020-02-24,77241
2020-02-25,77754
2020-02-26,78166
2020-02-27,78600
2020-02-28,78928
2020-02-29,79356
2020-03-01,79932
2020-03-02,80136
2020-03-03,80261
2020-03-04,80386
2020-03-05,80537
2020-03-06,80690
2020-03-07,80770
2020-03-08,80823
2020-03-09,80860
2020-03-10,80887
2020-03-11,80921
2020-03-12,80932
2020-03-13,80945
2020-03-14,80977
2020-03-15,81003
2020-03-16,81033
2020-03-17,81058
2020-03-18,81102
2020-03-19,81156
2020-03-20,81250
2020-03-21,81305
2020-03-22,81435
2020-03-23,81498
2020-03-24,81591
2020-03-25,81661
2020-03-26,81782
2020-03-27,81897
2020-03-28,81999
2020-03-29,82122
2020-03-30,82198
2020-03-31,82279
2020-04-01,82361
2020-04-02,82432
2020-04-03,82511
2020-04-04,82543
2020-04-05,82602
2020-04-06,82665
2020-04-07,82718
2020-04-08,82809
2020-04-09,82883
2020-04-10,82941
2020-04-11,83014
2020-04-12,83134
2020-04-13,83213
2020-04-14,83306
2020-04-15,83356
2020-04-16,83403
2020-04-17,83760
2020-04-18,83787
2020-04-19,83805
2020-04-20,83817
2020-04-21,83853
2020-04-22,83868
2020-04-23,83884
2020-04-24,83899
2020-04-25,83909
2020-04-26,83912
2020-04-27,83918
2020-04-28,83940
2020-04-29,83944
2020-04-30,83956
2020-05-01,83959
2020-05-02,83959
2020-05-03,83964
2020-05-04,83966
2020-05-05,83968
2020-05-06,83970
2020-05-07,83975
2020-05-08,83976
2020-05-09,83990
2020-05-10,84010
2020-05-11,84011
2020-05-12,84018
2020-05-13,84024
2020-05-14,84029
2020-05-15,84038
2020-05-16,84044
2020-05-17,84054
2020-05-18,84063
2020-05-19,84063
2020-05-20,84063
2020-05-21,84063
2020-05-22,84081
2020-05-23,84084
2020-05-24,84095
2020-05-25,84102
2020-05-26,84103
2020-05-27,84106
2020-05-28,84106
2020-05-29,84123
2020-05-30,84128
2020-05-31,84146
2020-06-01,84154
2020-06-02,84161
2020-06-03,84160
2020-06-04,84171
2020-06-05,84177
2020-06-06,84186
2020-06-07,84191
2020-06-08,84195
2020-06-09,84198
2020-06-10,84209
2020-06-11,84216
2020-06-12,84228
2020-06-13,84286
2020-06-14,84335
2020-06-15,84378
2020-06-16,84422
2020-06-17,84458
2020-06-18,84494
2020-06-19,84494
2020-06-20,84553
2020-06-21,84572
2020-06-22,84624
2020-06-23,84653
2020-06-24,84673
2020-06-25,84701
2020-06-26,84725
2020-06-27,84743
2020-06-28,84757
2020-06-29,84780
2020-06-30,84785
2020-07-01,84816
2020-07-02,84830
2020-07-03,84838
2020-07-04,84857
2020-07-05,84871
2020-07-06,84889
2020-07-07,84917
2020-07-08,84950
2020-07-09,84992
2020-07-10,84992
2020-07-11,85071
2020-07-12,85117
2020-07-13,85117
2020-07-14,85226
2020-07-15,85246
2020-07-16,85327
2020-07-17,85402
2020-07-18,85418
2020-07-19,85503
2020-07-20,85622
2020-07-21,85708
2020-07-22,85906
2020-07-23,86045
2020-07-24,86202
2020-07-25,86381
2020-07-26,86570
2020-07-27,86783
2020-07-28,86990
2020-07-29,87213
2020-07-30,87489
2020-07-31,87655
2020-08-01,87827
2020-08-02,87985
2020-08-03,88099
2020-08-04,88206
2020-08-05,88328
2020-08-06,88460
2020-08-07,88580
2020-08-08,88672
2020-08-09,88793
2020-08-10,88906
