date,current
2020-01-22,503.0
2020-01-23,595.0
2020-01-24,858.0
2020-01-25,1325.0
2020-01-26,1970.0
2020-01-27,2737.0
2020-01-28,5277.0
2020-01-29,5834.0
2020-01-30,7835.0
2020-01-31,9375.0
2020-02-01,11357.0
2020-02-02,15806.0
2020-02-03,18677.0
2020-02-04,22373.0
2020-02-05,25762.0
2020-02-06,28477.0
2020-02-07,31393.0
2020-02-08,33413.0
2020-02-09,35705.0
2020-02-10,37424.0
2020-02-11,38638.0
2020-02-12,38560.0
2020-02-13,52309.0
2020-02-14,56860.0
2020-02-15,57452.0
2020-02-16,57992.0
2020-02-17,58108.0
2020-02-18,58002.0
2020-02-19,56541.0
2020-02-20,54825.0
2020-02-21,54608.0
2020-02-22,51859.0
2020-02-23,51390.0
2020-02-24,49631.0
2020-02-25,47413.0
2020-02-26,45365.0
2020-02-27,42924.0
2020-02-28,39809.0
2020-02-29,37199.0
2020-03-01,34898.0
2020-03-02,32368.0
2020-03-03,29864.0
2020-03-04,27402.0
2020-03-05,25230.0
2020-03-06,23702.0
2020-03-07,22159.0
2020-03-08,20335.0
2020-03-09,18933.0
2020-03-10,17567.0
2020-03-11,16116.0
2020-03-12,14859.0
2020-03-13,13569.0
2020-03-14,12124.0
2020-03-15,10783.0
2020-03-16,9906.0
2020-03-17,9030.0
2020-03-18,8106.0
2020-03-19,7372.0
2020-03-20,6731.0
2020-03-21,6189.0
2020-03-22,5770.0
