date,deaths
2020-01-22,17.0
2020-01-23,18.0
2020-01-24,26.0
2020-01-25,42.0
2020-01-26,56.0
2020-01-27,82.0
2020-01-28,131.0
2020-01-29,133.0
2020-01-30,171.0
2020-01-31,213.0
2020-02-01,259.0
2020-02-02,361.0
2020-02-03,425.0
2020-02-04,491.0
2020-02-05,563.0
2020-02-06,633.0
2020-02-07,718.0
2020-02-08,805.0
2020-02-09,905.0
2020-02-10,1012.0
2020-02-11,1112.0
2020-02-12,1117.0
2020-02-13,1369.0
2020-02-14,1521.0
2020-02-15,1663.0
2020-02-16,1766.0
2020-02-17,1864.0
2020-02-18,2003.0
2020-02-19,2116.0
2020-02-20,2238.0
2020-02-21,2238.0
2020-02-22,2443.0
2020-02-23,2445.0
2020-02-24,2595.0
2020-02-25,2665.0
2020-02-26,2717.0
2020-02-27,2746.0
2020-02-28,2790.0
2020-02-29,2837.0
2020-03-01,2872.0
2020-03-02,2914.0
2020-03-03,2947.0
2020-03-04,2983.0
2020-03-05,3015.0
2020-03-06,3044.0
2020-03-07,3072.0
2020-03-08,3100.0
2020-03-09,3123.0
2020-03-10,3139.0
2020-03-11,3161.0
2020-03-12,3172.0
2020-03-13,3180.0
2020-03-14,3193.0
2020-03-15,3203.0
2020-03-16,3217.0
2020-03-17,3230.0
2020-03-18,3241.0
2020-03-19,3249.0
2020-03-20,3253.0
2020-03-21,3259.0
2020-03-22,3265.0
