date,recovered
2020-01-22,28.0
2020-01-23,30.0
2020-01-24,36.0
2020-01-25,39.0
2020-01-26,49.0
2020-01-27,58.0
2020-01-28,101.0
2020-01-29,120.0
2020-01-30,135.0
2020-01-31,214.0
2020-02-01,275.0
2020-02-02,463.0
2020-02-03,614.0
2020-02-04,843.0
2020-02-05,1115.0
2020-02-06,1477.0
2020-02-07,1999.0
2020-02-08,2596.0
2020-02-09,3219.0
2020-02-10,3918.0
2020-02-11,4636.0
2020-02-12,5082.0
2020-02-13,6217.0
2020-02-14,7977.0
2020-02-15,9298.0
2020-02-16,10755.0
2020-02-17,12462.0
2020-02-18,14206.0
2020-02-19,15962.0
2020-02-20,18014.0
2020-02-21,18704.0
2020-02-22,22699.0
2020-02-23,23187.0
2020-02-24,25015.0
2020-02-25,27676.0
2020-02-26,30084.0
2020-02-27,32930.0
2020-02-28,36329.0
2020-02-29,39320.0
2020-03-01,42162.0
2020-03-02,44854.0
2020-03-03,47450.0
2020-03-04,50001.0
2020-03-05,52292.0
2020-03-06,53944.0
2020-03-07,55539.0
2020-03-08,57388.0
2020-03-09,58804.0
2020-03-10,60181.0
2020-03-11,61644.0
2020-03-12,62901.0
2020-03-13,64196.0
2020-03-14,65660.0
2020-03-15,67017.0
2020-03-16,67910.0
2020-03-17,68798.0
2020-03-18,69755.0
2020-03-19,70535.0
2020-03-20,71266.0
2020-03-21,71857.0
2020-03-22,72362.0
