date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,2
2020-03-25,2
2020-03-26,3
2020-03-27,3
2020-03-28,6
2020-03-29,6
2020-03-30,8
2020-03-31,8
2020-04-01,9
2020-04-02,13
2020-04-03,13
2020-04-04,18
2020-04-05,18
2020-04-06,18
2020-04-07,18
2020-04-08,18
2020-04-09,18
2020-04-10,20
2020-04-11,20
2020-04-12,20
2020-04-13,20
2020-04-14,20
2020-04-15,21
2020-04-16,22
2020-04-17,23
2020-04-18,25
2020-04-19,25
2020-04-20,25
2020-04-21,25
2020-04-22,25
2020-04-23,25
2020-04-24,25
2020-04-25,28
2020-04-26,28
2020-04-27,28
2020-04-28,30
2020-04-29,30
2020-04-30,31
2020-05-01,32
2020-05-02,33
2020-05-03,33
2020-05-04,34
2020-05-05,34
2020-05-06,35
2020-05-07,36
2020-05-08,39
2020-05-09,39
2020-05-10,41
2020-05-11,41
2020-05-12,44
2020-05-13,50
2020-05-14,50
2020-05-15,50
2020-05-16,61
2020-05-17,61
2020-05-18,61
2020-05-19,61
2020-05-20,61
2020-05-21,61
2020-05-22,63
2020-05-23,63
2020-05-24,63
2020-05-25,67
2020-05-26,68
2020-05-27,68
2020-05-28,69
2020-05-29,69
2020-05-30,69
2020-05-31,72
2020-06-01,72
2020-06-02,72
2020-06-03,75
2020-06-04,78
2020-06-05,81
2020-06-06,82
2020-06-07,85
2020-06-08,88
2020-06-09,90
2020-06-10,96
2020-06-11,98
2020-06-12,101
2020-06-13,106
2020-06-14,107
2020-06-15,112
2020-06-16,112
2020-06-17,115
2020-06-18,117
2020-06-19,122
2020-06-20,125
2020-06-21,130
2020-06-22,135
2020-06-23,135
2020-06-24,142
2020-06-25,142
2020-06-26,149
2020-06-27,153
2020-06-28,157
2020-06-29,167
2020-06-30,170
2020-07-01,175
2020-07-02,176
2020-07-03,179
2020-07-04,182
2020-07-05,182
2020-07-06,182
2020-07-07,182
2020-07-08,182
2020-07-09,189
2020-07-10,189
2020-07-11,189
2020-07-12,189
2020-07-13,190
2020-07-14,190
2020-07-15,192
2020-07-16,193
2020-07-17,193
2020-07-18,193
2020-07-19,194
2020-07-20,194
2020-07-21,196
2020-07-22,197
2020-07-23,201
2020-07-24,201
2020-07-25,204
2020-07-26,204
2020-07-27,208
2020-07-28,208
2020-07-29,210
2020-07-30,215
2020-07-31,215
2020-08-01,215
2020-08-02,215
2020-08-03,215
2020-08-04,215
2020-08-05,215
2020-08-06,215
2020-08-07,218
2020-08-08,218
2020-08-09,224
