date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,61.0
2020-02-08,61.0
2020-02-09,64.0
2020-02-10,135.0
2020-02-11,135.0
2020-02-12,175.0
2020-02-13,175.0
2020-02-14,218.0
2020-02-15,285.0
2020-02-16,355.0
2020-02-17,454.0
2020-02-18,542.0
2020-02-19,620.0
2020-02-20,631.0
2020-02-21,631.0
2020-02-22,631.0
2020-02-23,688.0
2020-02-24,688.0
2020-02-25,688.0
2020-02-26,691.0
2020-02-27,691.0
2020-02-28,689.0
2020-02-29,689.0
2020-03-01,689.0
2020-03-02,689.0
2020-03-03,690.0
2020-03-04,690.0
2020-03-05,690.0
2020-03-06,650.0
2020-03-07,650.0
2020-03-08,650.0
2020-03-09,650.0
2020-03-10,650.0
2020-03-11,364.0
2020-03-12,364.0
2020-03-13,364.0
2020-03-14,364.0
2020-03-15,364.0
2020-03-16,364.0
2020-03-17,364.0
2020-03-18,380.0
2020-03-19,380.0
2020-03-20,380.0
2020-03-21,379.0
2020-03-22,379.0
2020-03-23,379.0
