date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,3
2020-03-13,4
2020-03-14,4
2020-03-15,4
2020-03-16,4
2020-03-17,5
2020-03-18,7
2020-03-19,11
2020-03-20,16
2020-03-21,21
2020-03-22,35
2020-03-23,40
2020-03-24,48
2020-03-25,57
2020-03-26,67
2020-03-27,80
2020-03-28,119
2020-03-29,139
2020-03-30,170
2020-03-31,186
2020-04-01,212
2020-04-02,233
2020-04-03,269
2020-04-04,288
2020-04-05,320
2020-04-06,350
2020-04-07,396
2020-04-08,457
2020-04-09,515
2020-04-10,564
2020-04-11,620
2020-04-12,669
2020-04-13,726
2020-04-14,766
2020-04-15,814
2020-04-16,862
2020-04-17,923
2020-04-18,986
2020-04-19,1035
2020-04-20,1087
2020-04-21,1137
2020-04-22,1189
2020-04-23,1235
2020-04-24,1285
2020-04-25,1337
2020-04-26,1369
2020-04-27,1389
2020-04-28,1437
2020-04-29,1467
2020-04-30,1501
2020-05-01,1537
2020-05-02,1611
2020-05-03,1649
2020-05-04,1668
2020-05-05,1685
2020-05-06,1703
2020-05-07,1729
2020-05-08,1741
2020-05-09,1754
2020-05-10,1766
2020-05-11,1783
2020-05-12,1804
2020-05-13,1810
2020-05-14,1830
2020-05-15,1840
2020-05-16,1862
2020-05-17,1872
2020-05-18,1881
2020-05-19,1887
2020-05-20,1900
2020-05-21,1908
2020-05-22,1916
2020-05-23,1931
2020-05-24,1941
2020-05-25,1947
2020-05-26,1963
2020-05-27,1974
2020-05-28,1983
2020-05-29,2005
2020-05-30,2025
2020-05-31,2045
2020-06-01,2083
2020-06-02,2092
2020-06-03,2107
2020-06-04,2119
2020-06-05,2133
2020-06-06,2173
2020-06-07,2191
2020-06-08,2200
2020-06-09,2205
2020-06-10,2211
2020-06-11,2219
2020-06-12,2233
2020-06-13,2238
2020-06-14,2248
2020-06-15,2262
2020-06-16,2273
2020-06-17,2280
2020-06-18,2295
2020-06-19,2305
2020-06-20,2309
2020-06-21,2312
2020-06-22,2315
2020-06-23,2318
2020-06-24,2319
2020-06-25,2321
2020-06-26,2325
2020-06-27,2330
2020-06-28,2332
2020-06-29,2340
2020-06-30,2341
2020-07-01,2348
2020-07-02,2353
2020-07-03,2361
2020-07-04,2369
2020-07-05,2372
2020-07-06,2380
2020-07-07,2395
2020-07-08,2399
2020-07-09,2403
2020-07-10,2413
2020-07-11,2420
2020-07-12,2426
2020-07-13,2428
2020-07-14,2432
2020-07-15,2438
2020-07-16,2440
2020-07-17,2444
2020-07-18,2445
2020-07-19,2446
2020-07-20,2446
2020-07-21,2449
2020-07-22,2462
2020-07-23,2466
2020-07-24,2469
2020-07-25,2478
2020-07-26,2495
2020-07-27,2532
2020-07-28,2555
2020-07-29,2588
2020-07-30,2597
2020-07-31,2608
2020-08-01,2633
2020-08-02,2646
2020-08-03,2670
2020-08-04,2701
2020-08-05,2726
2020-08-06,2775
2020-08-07,2829
2020-08-08,2888
2020-08-09,2953
2020-08-10,3046
2020-08-11,3093
2020-08-12,3128
2020-08-13,3174
2020-08-14,3229
2020-08-15,3292
2020-08-16,3316
2020-08-17,3364
2020-08-18,3408
2020-08-19,3482
2020-08-20,3565
2020-08-21,3582
2020-08-22,3617
2020-08-23,3682
2020-08-24,3717
2020-08-25,3744
2020-08-26,3759
2020-08-27,3806
2020-08-28,3866
2020-08-29,3925
2020-08-30,3973
2020-08-31,4032
2020-09-01,4065
2020-09-02,4126
2020-09-03,4214
2020-09-04,4266
2020-09-05,4298
2020-09-06,4309
2020-09-07,4352
2020-09-08,4377
2020-09-09,4459
2020-09-10,4551
2020-09-11,4593
2020-09-12,4653
2020-09-13,4684
2020-09-14,4726
2020-09-15,4803
2020-09-16,4876
2020-09-17,4933
2020-09-18,5004
2020-09-19,5055
2020-09-20,5091
2020-09-21,5141
2020-09-22,5222
2020-09-23,5270
2020-09-24,5310
2020-09-25,5350
2020-09-26,5412
2020-09-27,5457
2020-09-28,5483
2020-09-29,5531
2020-09-30,5597
2020-10-01,5670
2020-10-02,5718
2020-10-03,5780
2020-10-04,5809
2020-10-05,5845
2020-10-06,5883
2020-10-07,5898
2020-10-08,5917
2020-10-09,5943
2020-10-10,5948
2020-10-11,5978
2020-10-12,6000
