date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,3.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,2.0
2020-03-19,4.0
2020-03-20,5.0
2020-03-21,5.0
2020-03-22,14.0
2020-03-23,5.0
2020-03-24,8.0
2020-03-25,9.0
2020-03-26,10.0
2020-03-27,13.0
2020-03-28,39.0
2020-03-29,20.0
2020-03-30,31.0
2020-03-31,16.0
2020-04-01,26.0
2020-04-02,21.0
2020-04-03,36.0
2020-04-04,19.0
2020-04-05,32.0
2020-04-06,30.0
2020-04-07,46.0
2020-04-08,61.0
2020-04-09,58.0
2020-04-10,49.0
2020-04-11,56.0
2020-04-12,49.0
2020-04-13,57.0
2020-04-14,40.0
2020-04-15,48.0
2020-04-16,48.0
2020-04-17,61.0
2020-04-18,63.0
2020-04-19,49.0
2020-04-20,52.0
2020-04-21,50.0
2020-04-22,52.0
2020-04-23,46.0
2020-04-24,50.0
2020-04-25,52.0
2020-04-26,32.0
2020-04-27,20.0
2020-04-28,48.0
2020-04-29,30.0
2020-04-30,34.0
2020-05-01,36.0
2020-05-02,74.0
2020-05-03,38.0
2020-05-04,19.0
2020-05-05,17.0
2020-05-06,18.0
2020-05-07,26.0
2020-05-08,12.0
2020-05-09,13.0
2020-05-10,12.0
2020-05-11,17.0
2020-05-12,21.0
2020-05-13,6.0
2020-05-14,20.0
2020-05-15,10.0
2020-05-16,22.0
2020-05-17,10.0
2020-05-18,9.0
2020-05-19,6.0
2020-05-20,13.0
2020-05-21,8.0
2020-05-22,8.0
2020-05-23,15.0
2020-05-24,10.0
2020-05-25,6.0
2020-05-26,16.0
2020-05-27,11.0
2020-05-28,9.0
2020-05-29,22.0
2020-05-30,20.0
2020-05-31,20.0
2020-06-01,38.0
2020-06-02,9.0
2020-06-03,15.0
2020-06-04,12.0
2020-06-05,14.0
2020-06-06,40.0
2020-06-07,18.0
2020-06-08,9.0
2020-06-09,5.0
2020-06-10,6.0
2020-06-11,8.0
2020-06-12,14.0
2020-06-13,5.0
2020-06-14,10.0
2020-06-15,14.0
2020-06-16,11.0
2020-06-17,7.0
2020-06-18,15.0
2020-06-19,10.0
2020-06-20,4.0
2020-06-21,3.0
2020-06-22,3.0
2020-06-23,3.0
2020-06-24,1.0
2020-06-25,2.0
2020-06-26,4.0
2020-06-27,5.0
2020-06-28,2.0
2020-06-29,8.0
2020-06-30,1.0
2020-07-01,7.0
2020-07-02,5.0
2020-07-03,8.0
2020-07-04,8.0
2020-07-05,3.0
2020-07-06,8.0
2020-07-07,15.0
2020-07-08,4.0
2020-07-09,4.0
2020-07-10,10.0
2020-07-11,7.0
2020-07-12,6.0
2020-07-13,2.0
2020-07-14,4.0
2020-07-15,6.0
2020-07-16,2.0
2020-07-17,4.0
2020-07-18,1.0
2020-07-19,1.0
2020-07-20,0.0
2020-07-21,3.0
2020-07-22,13.0
2020-07-23,4.0
2020-07-24,3.0
2020-07-25,9.0
2020-07-26,17.0
2020-07-27,37.0
2020-07-28,23.0
2020-07-29,33.0
2020-07-30,9.0
2020-07-31,11.0
2020-08-01,25.0
2020-08-02,13.0
2020-08-03,24.0
2020-08-04,31.0
2020-08-05,25.0
2020-08-06,49.0
2020-08-07,54.0
2020-08-08,59.0
2020-08-09,65.0
