date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,3
2020-03-02,3
2020-03-03,5
2020-03-04,8
2020-03-05,12
2020-03-06,18
2020-03-07,19
2020-03-08,31
2020-03-09,31
2020-03-10,41
2020-03-11,91
2020-03-12,94
2020-03-13,141
2020-03-14,189
2020-03-15,253
2020-03-16,298
2020-03-17,396
2020-03-18,464
2020-03-19,694
2020-03-20,833
2020-03-21,995
2020-03-22,1120
2020-03-23,1236
2020-03-24,1394
2020-03-25,1654
2020-03-26,1925
2020-03-27,2279
2020-03-28,2631
2020-03-29,2817
2020-03-30,3001
2020-03-31,3308
2020-04-01,3508
2020-04-02,3858
2020-04-03,4091
2020-04-04,4472
2020-04-05,4587
2020-04-06,4822
2020-04-07,5017
2020-04-08,5312
2020-04-09,5569
2020-04-10,5732
2020-04-11,5831
2020-04-12,5991
2020-04-13,6059
2020-04-14,6111
2020-04-15,6216
2020-04-16,6433
2020-04-17,6549
2020-04-18,6606
2020-04-19,6746
2020-04-20,6900
2020-04-21,7033
2020-04-22,7132
2020-04-23,7187
2020-04-24,7273
2020-04-25,7352
2020-04-26,7404
2020-04-27,7445
2020-04-28,7504
2020-04-29,7579
2020-04-30,7682
2020-05-01,7737
2020-05-02,7755
2020-05-03,7781
2020-05-04,7819
2020-05-05,7896
2020-05-06,7974
2020-05-07,8031
2020-05-08,8077
2020-05-09,8095
2020-05-10,8123
2020-05-11,8176
2020-05-12,8221
2020-05-13,8269
2020-05-14,8351
2020-05-15,8406
2020-05-16,8455
2020-05-17,8475
2020-05-18,8586
2020-05-19,8647
2020-05-20,8721
2020-05-21,8754
2020-05-22,8813
2020-05-23,8890
2020-05-24,8955
2020-05-25,9002
2020-05-26,9050
2020-05-27,9086
2020-05-28,9140
2020-05-29,9196
2020-05-30,9230
2020-05-31,9268
2020-06-01,9302
2020-06-02,9364
2020-06-03,9438
2020-06-04,9494
2020-06-05,9529
2020-06-06,9567
2020-06-07,9628
2020-06-08,9697
2020-06-09,9751
2020-06-10,9824
2020-06-11,9855
2020-06-12,9938
2020-06-13,9991
2020-06-14,10024
2020-06-15,10064
2020-06-16,10111
2020-06-17,10162
2020-06-18,10280
2020-06-19,10406
2020-06-20,10448
2020-06-21,10498
2020-06-22,10523
2020-06-23,10650
2020-06-24,10777
2020-06-25,10870
2020-06-26,11038
2020-06-27,11298
2020-06-28,11603
2020-06-29,11805
2020-06-30,11954
2020-07-01,12046
2020-07-02,12178
2020-07-03,12319
2020-07-04,12440
2020-07-05,12515
2020-07-06,12566
2020-07-07,12685
2020-07-08,12814
2020-07-09,12919
2020-07-10,13001
2020-07-11,13115
2020-07-12,13174
2020-07-13,13238
2020-07-14,13341
2020-07-15,13475
2020-07-16,13612
2020-07-17,13742
2020-07-18,13855
2020-07-19,13945
2020-07-20,14098
2020-07-21,14324
2020-07-22,14570
2020-07-23,14800
2020-07-24,15081
2020-07-25,15212
2020-07-26,15324
2020-07-27,15516
2020-07-28,15799
2020-07-29,16093
2020-07-30,16371
2020-07-31,16574
2020-08-01,16699
2020-08-02,16800
2020-08-03,17008
2020-08-04,17286
2020-08-05,17529
2020-08-06,17731
2020-08-07,18060
2020-08-08,18235
2020-08-09,18353
