date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,1
2020-03-24,3
2020-03-25,6
2020-03-26,9
2020-03-27,9
2020-03-28,11
2020-03-29,16
2020-03-30,23
2020-03-31,31
2020-04-01,39
2020-04-02,44
2020-04-03,53
2020-04-04,59
2020-04-05,67
2020-04-06,78
2020-04-07,88
2020-04-08,99
2020-04-09,112
2020-04-10,119
2020-04-11,129
2020-04-12,138
2020-04-13,143
2020-04-14,161
2020-04-15,166
2020-04-16,169
2020-04-17,173
2020-04-18,181
2020-04-19,186
2020-04-20,194
2020-04-21,201
2020-04-22,208
2020-04-23,210
2020-04-24,214
2020-04-25,218
2020-04-26,220
2020-04-27,223
2020-04-28,227
2020-04-29,227
2020-04-30,236
2020-05-01,240
2020-05-02,245
2020-05-03,248
2020-05-04,252
2020-05-05,257
2020-05-06,262
2020-05-07,270
2020-05-08,273
2020-05-09,276
2020-05-10,280
2020-05-11,282
2020-05-12,283
2020-05-13,290
2020-05-14,293
2020-05-15,295
2020-05-16,296
2020-05-17,298
2020-05-18,297
2020-05-19,302
2020-05-20,304
2020-05-21,306
2020-05-22,312
2020-05-23,314
2020-05-24,315
2020-05-25,317
2020-05-26,317
2020-05-27,317
2020-05-28,319
2020-05-29,319
2020-05-30,319
2020-05-31,320
2020-06-01,321
2020-06-02,323
2020-06-03,325
2020-06-04,326
2020-06-05,327
2020-06-06,327
2020-06-07,327
2020-06-08,328
2020-06-09,328
2020-06-10,330
2020-06-11,328
2020-06-12,329
2020-06-13,328
2020-06-14,329
2020-06-15,330
2020-06-16,331
2020-06-17,333
2020-06-18,334
2020-06-19,335
2020-06-20,336
2020-06-21,336
2020-06-22,336
2020-06-23,339
2020-06-24,343
2020-06-25,345
2020-06-26,349
2020-06-27,349
2020-06-28,348
2020-06-29,348
2020-06-30,349
2020-07-01,349
2020-07-02,353
2020-07-03,353
2020-07-04,351
2020-07-05,348
2020-07-06,350
2020-07-07,351
2020-07-08,351
2020-07-09,352
2020-07-10,352
2020-07-11,352
2020-07-12,352
2020-07-13,353
2020-07-14,355
2020-07-15,355
2020-07-16,355
2020-07-17,358
2020-07-18,358
2020-07-19,359
2020-07-20,359
2020-07-21,360
2020-07-22,364
2020-07-23,365
2020-07-24,369
2020-07-25,369
2020-07-26,371
2020-07-27,373
2020-07-28,374
2020-07-29,374
2020-07-30,379
2020-07-31,382
2020-08-01,383
2020-08-02,384
2020-08-03,386
2020-08-04,383
2020-08-05,388
2020-08-06,390
2020-08-07,389
2020-08-08,389
2020-08-09,390
2020-08-10,390
2020-08-11,391
2020-08-12,391
2020-08-13,391
2020-08-14,394
2020-08-15,395
2020-08-16,397
2020-08-17,399
2020-08-18,401
2020-08-19,404
2020-08-20,406
2020-08-21,411
2020-08-22,411
2020-08-23,412
2020-08-24,415
2020-08-25,416
2020-08-26,418
2020-08-27,418
2020-08-28,419
2020-08-29,421
2020-08-30,423
2020-08-31,424
2020-09-01,425
2020-09-02,425
2020-09-03,426
2020-09-04,429
2020-09-05,431
2020-09-06,436
2020-09-07,437
2020-09-08,441
2020-09-09,444
2020-09-10,448
2020-09-11,450
2020-09-12,453
2020-09-13,456
2020-09-14,465
2020-09-15,476
2020-09-16,482
2020-09-17,489
2020-09-18,495
2020-09-19,499
2020-09-20,503
2020-09-21,522
2020-09-22,531
2020-09-23,555
2020-09-24,567
2020-09-25,581
2020-09-26,591
2020-09-27,606
2020-09-28,618
2020-09-29,636
2020-09-30,655
2020-10-01,678
2020-10-02,699
2020-10-03,711
2020-10-04,727
2020-10-05,758
2020-10-06,794
2020-10-07,829
2020-10-08,869
2020-10-09,905
2020-10-10,948
2020-10-11,987
2020-10-12,1051
