date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,3.0
2020-03-02,0.0
2020-03-03,2.0
2020-03-04,3.0
2020-03-05,4.0
2020-03-06,6.0
2020-03-07,1.0
2020-03-08,12.0
2020-03-09,0.0
2020-03-10,10.0
2020-03-11,50.0
2020-03-12,3.0
2020-03-13,47.0
2020-03-14,48.0
2020-03-15,64.0
2020-03-16,45.0
2020-03-17,98.0
2020-03-18,68.0
2020-03-19,230.0
2020-03-20,139.0
2020-03-21,162.0
2020-03-22,125.0
2020-03-23,116.0
2020-03-24,158.0
2020-03-25,260.0
2020-03-26,271.0
2020-03-27,354.0
2020-03-28,352.0
2020-03-29,186.0
2020-03-30,184.0
2020-03-31,307.0
2020-04-01,200.0
2020-04-02,350.0
2020-04-03,233.0
2020-04-04,381.0
