date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,3
2020-03-01,4
2020-03-02,4
2020-03-03,6
2020-03-04,11
2020-03-05,11
2020-03-06,24
2020-03-07,24
2020-03-08,37
2020-03-09,92
2020-03-10,264
2020-03-11,444
2020-03-12,617
2020-03-13,804
2020-03-14,836
2020-03-15,875
2020-03-16,933
2020-03-17,1025
2020-03-18,1116
2020-03-19,1225
2020-03-20,1337
2020-03-21,1420
2020-03-22,1514
2020-03-23,1572
2020-03-24,1718
2020-03-25,1862
2020-03-26,2023
2020-03-27,2200
2020-03-28,2366
2020-03-29,2564
2020-03-30,2755
2020-03-31,3039
2020-04-01,3290
2020-04-02,3573
2020-04-03,3946
2020-04-04,4269
2020-04-05,4561
2020-04-06,4875
2020-04-07,5266
2020-04-08,5597
2020-04-09,5830
2020-04-10,6014
2020-04-11,6191
2020-04-12,6369
2020-04-13,6513
2020-04-14,6706
2020-04-15,6876
2020-04-16,7074
2020-04-17,7268
2020-04-18,7437
2020-04-19,7580
2020-04-20,7711
2020-04-21,7891
2020-04-22,8108
2020-04-23,8271
2020-04-24,8408
2020-04-25,8643
2020-04-26,8773
2020-04-27,8896
2020-04-28,9049
2020-04-29,9206
2020-04-30,9356
2020-05-01,9509
2020-05-02,9605
2020-05-03,9721
2020-05-04,9868
2020-05-05,10019
2020-05-06,10136
2020-05-07,10281
2020-05-08,10416
2020-05-09,10517
2020-05-10,10627
2020-05-11,10711
2020-05-12,10789
2020-05-13,10865
