date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,0.0
2020-02-29,2.0
2020-03-01,1.0
2020-03-02,0.0
2020-03-03,2.0
2020-03-04,5.0
2020-03-05,0.0
2020-03-06,13.0
2020-03-07,0.0
2020-03-08,13.0
2020-03-09,55.0
2020-03-10,172.0
2020-03-11,180.0
2020-03-12,173.0
2020-03-13,187.0
2020-03-14,32.0
2020-03-15,39.0
2020-03-16,58.0
2020-03-17,92.0
2020-03-18,91.0
2020-03-19,109.0
2020-03-20,112.0
2020-03-21,83.0
2020-03-22,94.0
2020-03-23,58.0
2020-03-24,146.0
2020-03-25,144.0
2020-03-26,161.0
2020-03-27,177.0
2020-03-28,166.0
2020-03-29,198.0
2020-03-30,191.0
2020-03-31,284.0
2020-04-01,251.0
2020-04-02,283.0
2020-04-03,373.0
2020-04-04,323.0
2020-04-05,292.0
2020-04-06,314.0
2020-04-07,391.0
2020-04-08,331.0
2020-04-09,233.0
2020-04-10,184.0
2020-04-11,177.0
2020-04-12,178.0
2020-04-13,144.0
2020-04-14,193.0
2020-04-15,170.0
2020-04-16,198.0
2020-04-17,194.0
2020-04-18,169.0
2020-04-19,143.0
2020-04-20,131.0
2020-04-21,180.0
2020-04-22,217.0
2020-04-23,163.0
2020-04-24,137.0
2020-04-25,235.0
2020-04-26,130.0
2020-04-27,123.0
2020-04-28,153.0
2020-04-29,157.0
2020-04-30,150.0
2020-05-01,153.0
2020-05-02,96.0
2020-05-03,116.0
2020-05-04,147.0
2020-05-05,151.0
2020-05-06,117.0
2020-05-07,145.0
2020-05-08,135.0
2020-05-09,101.0
2020-05-10,110.0
2020-05-11,84.0
