date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,1
2020-04-11,2
2020-04-12,2
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,2
2020-04-17,2
2020-04-18,2
2020-04-19,2
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,2
2020-04-24,2
2020-04-25,2
2020-04-26,2
2020-04-27,2
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,2
2020-05-02,2
2020-05-03,2
2020-05-04,2
2020-05-05,2
2020-05-06,3
2020-05-07,3
2020-05-08,3
2020-05-09,3
2020-05-10,3
2020-05-11,3
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,4
2020-05-16,4
2020-05-17,4
2020-05-18,7
2020-05-19,7
2020-05-20,9
2020-05-21,10
2020-05-22,10
2020-05-23,10
2020-05-24,10
2020-05-25,14
2020-05-26,14
2020-05-27,18
2020-05-28,20
2020-05-29,20
2020-05-30,22
2020-05-31,24
2020-06-01,24
2020-06-02,25
2020-06-03,26
2020-06-04,26
2020-06-05,26
2020-06-06,26
2020-06-07,28
2020-06-08,31
2020-06-09,34
2020-06-10,34
2020-06-11,37
2020-06-12,38
2020-06-13,41
2020-06-14,43
2020-06-15,43
2020-06-16,43
2020-06-17,43
2020-06-18,43
2020-06-19,45
2020-06-20,45
2020-06-21,45
2020-06-22,48
2020-06-23,49
2020-06-24,52
2020-06-25,52
2020-06-26,52
2020-06-27,52
2020-06-28,52
2020-06-29,53
2020-06-30,54
2020-07-01,55
2020-07-02,55
2020-07-03,55
2020-07-04,55
2020-07-05,55
2020-07-06,55
2020-07-07,55
2020-07-08,55
2020-07-09,56
2020-07-10,56
2020-07-11,56
2020-07-12,56
2020-07-13,56
2020-07-14,56
2020-07-15,56
2020-07-16,56
2020-07-17,56
2020-07-18,56
2020-07-19,56
2020-07-20,56
2020-07-21,56
2020-07-22,58
2020-07-23,58
2020-07-24,58
2020-07-25,58
2020-07-26,58
2020-07-27,58
2020-07-28,58
2020-07-29,58
2020-07-30,58
2020-07-31,58
2020-08-01,58
2020-08-02,59
2020-08-03,59
2020-08-04,59
2020-08-05,59
2020-08-06,59
2020-08-07,59
2020-08-08,59
2020-08-09,59
2020-08-10,59
