date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,5
2020-03-09,5
2020-03-10,5
2020-03-11,5
2020-03-12,5
2020-03-13,5
2020-03-14,11
2020-03-15,11
2020-03-16,11
2020-03-17,21
2020-03-18,21
2020-03-19,34
2020-03-20,72
2020-03-21,112
2020-03-22,202
2020-03-23,245
2020-03-24,312
2020-03-25,392
2020-03-26,488
2020-03-27,581
2020-03-28,719
2020-03-29,859
2020-03-30,901
2020-03-31,1109
2020-04-01,1284
2020-04-02,1380
2020-04-03,1488
2020-04-04,1488
2020-04-05,1745
2020-04-06,1828
2020-04-07,1956
2020-04-08,2111
2020-04-09,2349
2020-04-10,2620
2020-04-11,2759
2020-04-12,2967
2020-04-13,3167
2020-04-14,3286
2020-04-15,3614
2020-04-16,3755
2020-04-17,4126
2020-04-18,4335
2020-04-19,4680
2020-04-20,4964
2020-04-21,5044
2020-04-22,5300
2020-04-23,5543
2020-04-24,5749
2020-04-25,5926
2020-04-26,6135
2020-04-27,6293
2020-04-28,6416
2020-04-29,6652
2020-04-30,6972
2020-05-01,7288
2020-05-02,7578
2020-05-03,7954
2020-05-04,8235
2020-05-05,8480
2020-05-06,8807
2020-05-07,9095
2020-05-08,9376
2020-05-09,9882
2020-05-10,10347
2020-05-11,10634
2020-05-12,10900
2020-05-13,11196
2020-05-14,11320
2020-05-15,11739
2020-05-16,12110
2020-05-17,12314
2020-05-18,12725
2020-05-19,13223
2020-05-20,13477
2020-05-21,13657
2020-05-22,13989
2020-05-23,14422
2020-05-24,14801
2020-05-25,15073
2020-05-26,15264
2020-05-27,15723
2020-05-28,16068
2020-05-29,16531
2020-05-30,16908
2020-05-31,17285
2020-06-01,17572
2020-06-02,17752
2020-06-03,18040
2020-06-04,18319
2020-06-05,18708
2020-06-06,19195
2020-06-07,19600
2020-06-08,20126
2020-06-09,20415
2020-06-10,20808
2020-06-11,21437
2020-06-12,22008
2020-06-13,22572
2020-06-14,22962
2020-06-15,23271
2020-06-16,23686
2020-06-17,24105
2020-06-18,24645
2020-06-19,25068
2020-06-20,25778
2020-06-21,26677
2020-06-22,27370
2020-06-23,27936
2020-06-24,28631
2020-06-25,29141
2020-06-26,29764
2020-06-27,30619
2020-06-28,31373
2020-06-29,31816
2020-06-30,32568
2020-07-01,33387
2020-07-02,34197
2020-07-03,35148
2020-07-04,36184
2020-07-05,37425
2020-07-06,38128
2020-07-07,38430
2020-07-08,39588
2020-07-09,40790
2020-07-10,41915
2020-07-11,43114
2020-07-12,44532
2020-07-13,45506
2020-07-14,46305
2020-07-15,47671
2020-07-16,48743
2020-07-17,50113
2020-07-18,51519
2020-07-19,52855
2020-07-20,53956
2020-07-21,54797
2020-07-22,56043
2020-07-23,57615
2020-07-24,59077
2020-07-25,60896
2020-07-26,62908
2020-07-27,64156
2020-07-28,64690
2020-07-29,66182
2020-07-30,67915
2020-07-31,69649
2020-08-01,71415
2020-08-02,72243
2020-08-03,73117
2020-08-04,74295
2020-08-05,75660
2020-08-06,76536
2020-08-07,77709
2020-08-08,78778
2020-08-09,79732
2020-08-10,80499
2020-08-11,81094
2020-08-12,82224
2020-08-13,83134
2020-08-14,84488
2020-08-15,85545
2020-08-16,86309
2020-08-17,86737
2020-08-18,87123
2020-08-19,88127
2020-08-20,89010
2020-08-21,89867
2020-08-22,90561
2020-08-23,91161
2020-08-24,91608
2020-08-25,92217
2020-08-26,92557
2020-08-27,92964
2020-08-28,93390
2020-08-29,93732
2020-08-30,94241
2020-08-31,94715
2020-09-01,94979
2020-09-02,95627
2020-09-03,96629
2020-09-04,96629
2020-09-05,98776
2020-09-06,99333
2020-09-07,99898
2020-09-08,100131
2020-09-09,100937
2020-09-10,101716
2020-09-11,102232
2020-09-12,103092
2020-09-13,103660
2020-09-14,104110
2020-09-15,104803
2020-09-16,105521
2020-09-17,106136
2020-09-18,106732
2020-09-19,107700
2020-09-20,108289
2020-09-21,108783
2020-09-22,109269
2020-09-23,109737
2020-09-24,110122
2020-09-25,110597
2020-09-26,110957
2020-09-27,111386
2020-09-28,111666
2020-09-29,111900
2020-09-30,112209
2020-10-01,112728
2020-10-02,113350
2020-10-03,113926
2020-10-04,114480
2020-10-05,115054
2020-10-06,115371
2020-10-07,116148
2020-10-08,116872
2020-10-09,117457
2020-10-10,118014
2020-10-11,118477
2020-10-12,118843
