date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,1.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,3.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,6.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,10.0
2020-03-18,0.0
2020-03-19,13.0
2020-03-20,38.0
2020-03-21,40.0
2020-03-22,90.0
2020-03-23,43.0
2020-03-24,67.0
2020-03-25,80.0
2020-03-26,96.0
2020-03-27,93.0
2020-03-28,138.0
2020-03-29,140.0
2020-03-30,42.0
2020-03-31,208.0
2020-04-01,175.0
2020-04-02,96.0
2020-04-03,108.0
2020-04-04,0.0
2020-04-05,257.0
2020-04-06,83.0
2020-04-07,128.0
2020-04-08,155.0
2020-04-09,238.0
2020-04-10,271.0
2020-04-11,139.0
2020-04-12,208.0
2020-04-13,200.0
2020-04-14,119.0
2020-04-15,328.0
2020-04-16,141.0
2020-04-17,371.0
2020-04-18,209.0
2020-04-19,345.0
2020-04-20,284.0
2020-04-21,80.0
2020-04-22,256.0
2020-04-23,243.0
2020-04-24,206.0
2020-04-25,177.0
2020-04-26,209.0
2020-04-27,158.0
2020-04-28,123.0
2020-04-29,236.0
2020-04-30,320.0
2020-05-01,316.0
2020-05-02,290.0
2020-05-03,376.0
2020-05-04,281.0
2020-05-05,245.0
2020-05-06,327.0
2020-05-07,288.0
2020-05-08,281.0
2020-05-09,506.0
2020-05-10,465.0
2020-05-11,287.0
2020-05-12,266.0
2020-05-13,296.0
2020-05-14,124.0
2020-05-15,419.0
2020-05-16,371.0
2020-05-17,204.0
2020-05-18,411.0
2020-05-19,498.0
2020-05-20,254.0
2020-05-21,180.0
2020-05-22,332.0
2020-05-23,433.0
2020-05-24,379.0
2020-05-25,272.0
2020-05-26,191.0
2020-05-27,459.0
2020-05-28,345.0
2020-05-29,463.0
2020-05-30,377.0
2020-05-31,377.0
2020-06-01,287.0
2020-06-02,180.0
2020-06-03,288.0
2020-06-04,279.0
2020-06-05,389.0
2020-06-06,487.0
2020-06-07,405.0
2020-06-08,526.0
2020-06-09,289.0
2020-06-10,393.0
2020-06-11,629.0
2020-06-12,571.0
2020-06-13,564.0
2020-06-14,390.0
2020-06-15,309.0
2020-06-16,415.0
2020-06-17,419.0
2020-06-18,540.0
2020-06-19,423.0
2020-06-20,710.0
2020-06-21,899.0
2020-06-22,693.0
2020-06-23,566.0
2020-06-24,695.0
2020-06-25,510.0
2020-06-26,623.0
2020-06-27,855.0
2020-06-28,754.0
2020-06-29,443.0
2020-06-30,752.0
2020-07-01,819.0
2020-07-02,810.0
2020-07-03,951.0
2020-07-04,1036.0
2020-07-05,1241.0
2020-07-06,703.0
2020-07-07,302.0
2020-07-08,1158.0
2020-07-09,1202.0
2020-07-10,1125.0
2020-07-11,1199.0
2020-07-12,1418.0
2020-07-13,974.0
2020-07-14,799.0
2020-07-15,1366.0
2020-07-16,1072.0
2020-07-17,1370.0
2020-07-18,1406.0
2020-07-19,1336.0
2020-07-20,1101.0
2020-07-21,841.0
2020-07-22,1246.0
2020-07-23,1572.0
2020-07-24,1462.0
2020-07-25,1819.0
2020-07-26,2012.0
2020-07-27,1248.0
2020-07-28,534.0
2020-07-29,1492.0
2020-07-30,1733.0
2020-07-31,1734.0
2020-08-01,1766.0
2020-08-02,828.0
2020-08-03,874.0
2020-08-04,1178.0
2020-08-05,1365.0
2020-08-06,876.0
2020-08-07,1173.0
2020-08-08,1069.0
2020-08-09,954.0
2020-08-10,767.0
