date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,3
2020-03-20,5
2020-03-21,7
2020-03-22,14
2020-03-23,18
2020-03-24,27
2020-03-25,28
2020-03-26,34
2020-03-27,36
2020-03-28,48
2020-03-29,58
2020-03-30,60
2020-03-31,75
2020-04-01,93
2020-04-02,120
2020-04-03,145
2020-04-04,172
2020-04-05,180
2020-04-06,191
2020-04-07,191
2020-04-08,242
2020-04-09,272
2020-04-10,297
2020-04-11,315
2020-04-12,333
2020-04-13,355
2020-04-14,369
2020-04-15,388
2020-04-16,403
2020-04-17,421
2020-04-18,456
2020-04-19,474
2020-04-20,507
2020-04-21,520
2020-04-22,537
2020-04-23,560
2020-04-24,576
2020-04-25,576
2020-04-26,576
2020-04-27,663
2020-04-28,871
2020-04-29,883
2020-04-30,900
2020-05-01,1063
2020-05-02,1371
2020-05-03,1564
2020-05-04,1569
2020-05-05,1569
2020-05-06,1618
2020-05-07,1654
2020-05-08,1704
2020-05-09,1717
2020-05-10,2127
2020-05-11,2145
2020-05-12,2327
2020-05-13,2334
2020-05-14,2338
2020-05-15,2594
2020-05-16,2688
2020-05-17,2736
2020-05-18,2799
2020-05-19,2839
2020-05-20,2888
2020-05-21,2939
2020-05-22,3056
2020-05-23,3096
2020-05-24,3108
2020-05-25,3203
2020-05-26,3203
2020-05-27,3275
2020-05-28,3313
2020-05-29,3334
2020-05-30,3334
2020-05-31,3358
2020-06-01,3358
2020-06-02,3438
2020-06-03,3486
2020-06-04,3486
2020-06-05,3534
2020-06-06,3608
2020-06-07,3621
2020-06-08,3642
2020-06-09,3690
2020-06-10,3720
2020-06-11,3720
2020-06-12,3828
2020-06-13,3874
2020-06-14,3896
2020-06-15,3929
2020-06-16,3970
2020-06-17,4007
2020-06-18,4087
2020-06-19,4156
2020-06-20,4156
2020-06-21,4223
2020-06-22,4223
2020-06-23,4274
2020-06-24,4274
2020-06-25,4343
2020-06-26,4406
2020-06-27,4424
2020-06-28,4429
2020-06-29,4502
2020-06-30,4527
2020-07-01,4576
2020-07-02,4639
2020-07-03,4700
2020-07-04,4769
2020-07-05,4781
2020-07-06,4821
2020-07-07,4873
2020-07-08,4873
2020-07-09,4900
2020-07-10,4939
2020-07-11,5031
2020-07-12,5047
2020-07-13,5063
2020-07-14,5130
2020-07-15,5158
2020-07-16,5207
2020-07-17,5250
2020-07-18,5282
2020-07-19,5313
2020-07-20,5318
2020-07-21,5366
2020-07-22,5418
2020-07-23,5439
2020-07-24,5468
2020-07-25,5507
2020-07-26,5515
2020-07-27,5532
2020-07-28,5584
2020-07-29,5623
2020-07-30,5657
2020-07-31,5702
2020-08-01,5736
2020-08-02,5736
2020-08-03,5767
2020-08-04,5808
2020-08-05,5847
2020-08-06,5877
2020-08-07,5897
2020-08-08,5916
