date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,4
2020-03-18,6
2020-03-19,6
2020-03-20,8
2020-03-21,10
2020-03-22,14
2020-03-23,19
2020-03-24,20
2020-03-25,21
2020-03-26,24
2020-03-27,30
2020-03-28,36
2020-03-29,40
2020-03-30,41
2020-03-31,46
2020-04-01,52
2020-04-02,58
2020-04-03,66
2020-04-04,71
2020-04-05,78
2020-04-06,85
2020-04-07,94
2020-04-08,103
2020-04-09,118
2020-04-10,135
2020-04-11,146
2020-04-12,159
2020-04-13,164
2020-04-14,178
2020-04-15,183
2020-04-16,196
2020-04-17,205
2020-04-18,224
2020-04-19,239
2020-04-20,250
2020-04-21,264
2020-04-22,276
2020-04-23,287
2020-04-24,294
2020-04-25,307
2020-04-26,317
2020-04-27,337
2020-04-28,359
2020-04-29,380
2020-04-30,392
2020-05-01,406
2020-05-02,415
2020-05-03,429
2020-05-04,436
2020-05-05,452
2020-05-06,469
2020-05-07,482
2020-05-08,503
2020-05-09,514
2020-05-10,525
2020-05-11,533
2020-05-12,544
2020-05-13,556
2020-05-14,571
2020-05-15,592
2020-05-16,612
2020-05-17,630
2020-05-18,645
2020-05-19,659
2020-05-20,680
2020-05-21,696
2020-05-22,707
2020-05-23,735
2020-05-24,764
2020-05-25,783
2020-05-26,797
2020-05-27,816
2020-05-28,845
2020-05-29,879
2020-05-30,913
2020-05-31,959
2020-06-01,1005
2020-06-02,1052
2020-06-03,1088
2020-06-04,1126
2020-06-05,1166
2020-06-06,1198
2020-06-07,1237
2020-06-08,1271
2020-06-09,1306
2020-06-10,1342
2020-06-11,1377
2020-06-12,1422
2020-06-13,1484
2020-06-14,1575
2020-06-15,1672
2020-06-16,1766
2020-06-17,1850
2020-06-18,1938
2020-06-19,2017
2020-06-20,2106
2020-06-21,2193
2020-06-22,2278
2020-06-23,2365
2020-06-24,2450
2020-06-25,2533
2020-06-26,2620
2020-06-27,2708
2020-06-28,2789
2020-06-29,2872
2020-06-30,2953
2020-07-01,3034
2020-07-02,3120
2020-07-03,3201
2020-07-04,3280
2020-07-05,3343
2020-07-06,3422
2020-07-07,3489
2020-07-08,3564
2020-07-09,3617
2020-07-10,3702
2020-07-11,3769
2020-07-12,3858
2020-07-13,3935
2020-07-14,4008
2020-07-15,4067
2020-07-16,4120
2020-07-17,4188
2020-07-18,4251
2020-07-19,4302
2020-07-20,4352
2020-07-21,4399
2020-07-22,4440
2020-07-23,4480
2020-07-24,4518
2020-07-25,4558
2020-07-26,4606
2020-07-27,4652
2020-07-28,4691
2020-07-29,4728
2020-07-30,4774
2020-07-31,4805
2020-08-01,4834
2020-08-02,4865
2020-08-03,4888
2020-08-04,4912
2020-08-05,4930
2020-08-06,4951
2020-08-07,4971
2020-08-08,4992
2020-08-09,5009
2020-08-10,5035
2020-08-11,5059
2020-08-12,5085
2020-08-13,5107
2020-08-14,5124
2020-08-15,5141
2020-08-16,5160
2020-08-17,5173
2020-08-18,5184
2020-08-19,5197
2020-08-20,5212
2020-08-21,5231
2020-08-22,5243
2020-08-23,5262
2020-08-24,5280
2020-08-25,5298
2020-08-26,5317
2020-08-27,5342
2020-08-28,5362
2020-08-29,5376
2020-08-30,5399
2020-08-31,5421
2020-09-01,5440
2020-09-02,5461
2020-09-03,5479
2020-09-04,5495
2020-09-05,5511
2020-09-06,5530
2020-09-07,5541
2020-09-08,5560
2020-09-09,5577
2020-09-10,5590
2020-09-11,5607
2020-09-12,5627
2020-09-13,5648
2020-09-14,5661
2020-09-15,5679
2020-09-16,5696
2020-09-17,5715
2020-09-18,5733
2020-09-19,5750
2020-09-20,5770
2020-09-21,5787
2020-09-22,5806
2020-09-23,5822
2020-09-24,5835
2020-09-25,5853
2020-09-26,5869
2020-09-27,5883
2020-09-28,5901
2020-09-29,5914
2020-09-30,5930
2020-10-01,5946
2020-10-02,5956
2020-10-03,5970
2020-10-04,5981
2020-10-05,5990
2020-10-06,6001
2020-10-07,6010
2020-10-08,6017
2020-10-09,6029
2020-10-10,6040
2020-10-11,6052
2020-10-12,6062
