date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,4
2020-03-19,6
2020-03-20,6
2020-03-21,6
2020-03-22,6
2020-03-23,9
2020-03-24,9
2020-03-25,9
2020-03-26,12
2020-03-27,12
2020-03-28,12
2020-03-29,12
2020-03-30,12
2020-03-31,12
2020-04-01,15
2020-04-02,15
2020-04-03,16
2020-04-04,16
2020-04-05,16
2020-04-06,16
2020-04-07,16
2020-04-08,18
2020-04-09,18
2020-04-10,18
2020-04-11,18
2020-04-12,21
2020-04-13,21
2020-04-14,41
2020-04-15,51
2020-04-16,51
2020-04-17,79
2020-04-18,79
2020-04-19,79
2020-04-20,79
2020-04-21,83
2020-04-22,84
2020-04-23,84
2020-04-24,214
2020-04-25,258
2020-04-26,258
2020-04-27,258
2020-04-28,315
2020-04-29,315
2020-04-30,315
2020-05-01,315
2020-05-02,315
2020-05-03,315
2020-05-04,315
2020-05-05,315
2020-05-06,439
2020-05-07,439
2020-05-08,439
2020-05-09,439
2020-05-10,439
2020-05-11,439
2020-05-12,439
2020-05-13,522
2020-05-14,583
2020-05-15,594
2020-05-16,594
2020-05-17,594
2020-05-18,719
2020-05-19,825
2020-05-20,890
2020-05-21,903
2020-05-22,960
2020-05-23,960
2020-05-24,960
2020-05-25,1043
2020-05-26,1043
2020-05-27,1043
2020-05-28,1043
2020-05-29,1306
2020-05-30,1306
2020-05-31,1306
2020-06-01,1306
2020-06-02,1306
2020-06-03,1306
2020-06-04,1306
2020-06-05,1306
2020-06-06,1306
2020-06-07,1306
2020-06-08,1306
2020-06-09,1306
2020-06-10,1306
2020-06-11,1306
2020-06-12,1306
2020-06-13,1306
2020-06-14,1306
2020-06-15,1306
2020-06-16,1664
2020-06-17,1664
2020-06-18,1664
2020-06-19,1664
2020-06-20,1664
2020-06-21,1664
2020-06-22,1664
2020-06-23,1664
2020-06-24,1664
2020-06-25,2001
2020-06-26,2001
2020-06-27,2001
2020-06-28,2001
2020-06-29,2001
2020-06-30,2001
2020-07-01,2001
2020-07-02,3071
2020-07-03,3071
2020-07-04,3071
2020-07-05,3071
2020-07-06,3071
2020-07-07,3071
2020-07-08,3071
2020-07-09,3071
2020-07-10,3071
2020-07-11,3071
2020-07-12,3071
2020-07-13,3071
2020-07-14,3071
2020-07-15,3071
2020-07-16,3071
2020-07-17,3071
2020-07-18,3071
2020-07-19,3071
2020-07-20,3071
2020-07-21,3071
2020-07-22,3071
2020-07-23,3071
2020-07-24,3071
2020-07-25,3071
2020-07-26,3071
2020-07-27,3071
2020-07-28,3071
2020-07-29,3071
2020-07-30,3071
2020-07-31,4821
2020-08-01,4821
2020-08-02,4821
2020-08-03,4821
2020-08-04,4821
2020-08-05,4821
2020-08-06,4821
2020-08-07,4821
2020-08-08,4821
2020-08-09,4821
2020-08-10,4821
