date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,4.0
2020-03-17,0.0
2020-03-18,1.0
2020-03-19,0.0
2020-03-20,3.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,0.0
2020-03-24,1.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,4.0
2020-03-28,0.0
2020-03-29,5.0
2020-03-30,2.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,0.0
2020-04-03,6.0
2020-04-04,3.0
2020-04-05,5.0
2020-04-06,1.0
2020-04-07,8.0
2020-04-08,3.0
2020-04-09,1.0
2020-04-10,9.0
2020-04-11,4.0
2020-04-12,2.0
2020-04-13,3.0
2020-04-14,8.0
2020-04-15,3.0
2020-04-16,7.0
2020-04-17,4.0
2020-04-18,9.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,2.0
2020-04-23,0.0
2020-04-24,1.0
2020-04-25,5.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,2.0
2020-04-29,4.0
2020-04-30,1.0
2020-05-01,2.0
2020-05-02,0.0
2020-05-03,2.0
2020-05-04,5.0
2020-05-05,5.0
2020-05-06,17.0
2020-05-07,29.0
2020-05-08,3.0
2020-05-09,16.0
2020-05-10,29.0
2020-05-11,11.0
2020-05-12,11.0
2020-05-13,2.0
2020-05-14,9.0
2020-05-15,15.0
2020-05-16,19.0
2020-05-17,11.0
2020-05-18,35.0
2020-05-19,13.0
2020-05-20,24.0
2020-05-21,10.0
2020-05-22,34.0
2020-05-23,61.0
2020-05-24,88.0
2020-05-25,73.0
2020-05-26,46.0
2020-05-27,30.0
2020-05-28,100.0
2020-05-29,137.0
2020-05-30,95.0
2020-05-31,109.0
2020-06-01,85.0
2020-06-02,87.0
2020-06-03,142.0
2020-06-04,150.0
2020-06-05,169.0
2020-06-06,129.0
2020-06-07,86.0
2020-06-08,136.0
2020-06-09,180.0
2020-06-10,170.0
2020-06-11,164.0
2020-06-12,245.0
2020-06-13,251.0
2020-06-14,179.0
2020-06-15,176.0
2020-06-16,109.0
2020-06-17,129.0
2020-06-18,195.0
2020-06-19,116.0
2020-06-20,399.0
2020-06-21,63.0
2020-06-22,131.0
2020-06-23,185.0
2020-06-24,186.0
2020-06-25,141.0
2020-06-26,250.0
2020-06-27,145.0
2020-06-28,119.0
2020-06-29,157.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,928.0
2020-07-09,199.0
2020-07-10,147.0
2020-07-11,282.0
2020-07-12,158.0
2020-07-13,206.0
2020-07-14,203.0
2020-07-15,212.0
2020-07-16,294.0
2020-07-17,328.0
2020-07-18,344.0
2020-07-19,356.0
2020-07-20,704.0
2020-07-21,865.0
2020-07-22,452.0
2020-07-23,409.0
2020-07-24,760.0
2020-07-25,555.0
2020-07-26,720.0
2020-07-27,579.0
2020-07-28,653.0
2020-07-29,610.0
2020-07-30,805.0
2020-07-31,915.0
2020-08-01,469.0
2020-08-02,707.0
2020-08-03,583.0
2020-08-04,588.0
2020-08-05,459.0
2020-08-06,564.0
2020-08-07,552.0
2020-08-08,801.0
