date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,3
2020-03-01,6
2020-03-02,6
2020-03-03,6
2020-03-04,6
2020-03-05,12
2020-03-06,15
2020-03-07,15
2020-03-08,23
2020-03-09,30
2020-03-10,40
2020-03-11,59
2020-03-12,59
2020-03-13,155
2020-03-14,225
2020-03-15,244
2020-03-16,277
2020-03-17,321
2020-03-18,336
2020-03-19,400
2020-03-20,450
2020-03-21,523
2020-03-22,626
2020-03-23,700
2020-03-24,792
2020-03-25,880
2020-03-26,958
2020-03-27,1041
2020-03-28,1167
2020-03-29,1240
2020-03-30,1352
2020-03-31,1418
2020-04-01,1446
2020-04-02,1518
2020-04-03,1615
2020-04-04,1882
2020-04-05,1927
