date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,2
2020-03-01,5
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,11
2020-03-06,14
2020-03-07,14
2020-03-08,22
2020-03-09,29
2020-03-10,39
2020-03-11,58
2020-03-12,58
2020-03-13,154
2020-03-14,224
2020-03-15,234
2020-03-16,267
2020-03-17,311
2020-03-18,326
2020-03-19,390
2020-03-20,440
