date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,1.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,3.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,6.0
2020-03-06,3.0
2020-03-07,0.0
2020-03-08,8.0
2020-03-09,7.0
2020-03-10,10.0
2020-03-11,19.0
2020-03-12,0.0
2020-03-13,96.0
2020-03-14,70.0
2020-03-15,19.0
2020-03-16,33.0
2020-03-17,44.0
2020-03-18,15.0
2020-03-19,64.0
2020-03-20,50.0
2020-03-21,73.0
2020-03-22,103.0
2020-03-23,74.0
2020-03-24,92.0
2020-03-25,88.0
2020-03-26,78.0
2020-03-27,83.0
2020-03-28,126.0
2020-03-29,73.0
2020-03-30,112.0
2020-03-31,66.0
2020-04-01,28.0
2020-04-02,72.0
2020-04-03,97.0
2020-04-04,267.0
2020-04-05,45.0
2020-04-06,249.0
2020-04-07,132.0
2020-04-08,179.0
2020-04-09,118.0
2020-04-10,164.0
2020-04-11,136.0
2020-04-12,69.0
2020-04-13,90.0
2020-04-14,97.0
2020-04-15,76.0
2020-04-16,132.0
2020-04-17,120.0
2020-04-18,192.0
2020-04-19,102.0
2020-04-20,85.0
2020-04-21,146.0
2020-04-22,115.0
2020-04-23,155.0
2020-04-24,111.0
2020-04-25,80.0
2020-04-26,101.0
2020-04-27,119.0
2020-04-28,45.0
2020-04-29,166.0
2020-04-30,89.0
2020-05-01,56.0
2020-05-02,125.0
2020-05-03,78.0
2020-05-04,73.0
2020-05-05,85.0
2020-05-06,161.0
2020-05-07,100.0
2020-05-08,65.0
2020-05-09,142.0
2020-05-10,82.0
2020-05-11,22.0
2020-05-12,19.0
2020-05-13,51.0
2020-05-14,91.0
2020-05-15,83.0
2020-05-16,58.0
2020-05-17,61.0
2020-05-18,33.0
2020-05-19,19.0
2020-05-20,44.0
2020-05-21,50.0
2020-05-22,44.0
2020-05-23,31.0
2020-05-24,11.0
2020-05-25,20.0
2020-05-26,29.0
2020-05-27,64.0
2020-05-28,51.0
2020-05-29,33.0
2020-05-30,50.0
2020-05-31,33.0
2020-06-01,26.0
2020-06-02,2.0
2020-06-03,24.0
2020-06-04,0.0
2020-06-05,30.0
2020-06-06,23.0
2020-06-07,17.0
2020-06-08,20.0
2020-06-09,24.0
2020-06-10,15.0
2020-06-11,24.0
2020-06-12,9.0
2020-06-13,14.0
2020-06-14,17.0
2020-06-15,4.0
2020-06-16,4.0
2020-06-17,5.0
2020-06-18,2.0
2020-06-19,14.0
2020-06-20,9.0
2020-06-21,1.0
2020-06-22,1.0
2020-06-23,11.0
2020-06-24,12.0
2020-06-25,5.0
2020-06-26,19.0
2020-06-27,7.0
2020-06-28,0.0
2020-06-29,11.0
2020-06-30,5.0
2020-07-01,22.0
2020-07-02,5.0
2020-07-03,1.0
2020-07-04,6.0
2020-07-05,5.0
2020-07-06,4.0
2020-07-07,5.0
2020-07-08,3.0
2020-07-09,8.0
2020-07-10,6.0
2020-07-11,12.0
2020-07-12,3.0
2020-07-13,1.0
2020-07-14,6.0
2020-07-15,-5.0
2020-07-16,-3.0
2020-07-17,8.0
2020-07-18,17.0
2020-07-19,17.0
2020-07-20,5.0
2020-07-21,11.0
2020-07-22,11.0
2020-07-23,10.0
2020-07-24,8.0
2020-07-25,8.0
2020-07-26,5.0
2020-07-27,5.0
2020-07-28,6.0
2020-07-29,10.0
2020-07-30,9.0
2020-07-31,9.0
2020-08-01,11.0
2020-08-02,10.0
2020-08-03,13.0
2020-08-04,17.0
2020-08-05,29.0
2020-08-06,20.0
2020-08-07,22.0
2020-08-08,14.0
2020-08-09,16.0
