date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,4
2020-03-06,4
2020-03-07,4
2020-03-08,13
2020-03-09,15
2020-03-10,15
2020-03-11,24
2020-03-12,24
2020-03-13,25
2020-03-14,30
2020-03-15,33
2020-03-16,33
2020-03-17,34
2020-03-18,38
2020-03-19,40
2020-03-20,43
2020-03-21,49
2020-03-22,54
2020-03-23,61
2020-03-24,70
2020-03-25,75
2020-03-26,79
2020-03-27,83
2020-03-28,90
2020-03-29,91
2020-03-30,103
2020-03-31,110
2020-04-01,117
2020-04-02,134
2020-04-03,155
2020-04-04,162
2020-04-05,174
2020-04-06,188
2020-04-07,196
2020-04-08,211
2020-04-09,218
2020-04-10,234
2020-04-11,242
2020-04-12,257
2020-04-13,272
2020-04-14,300
2020-04-15,306
2020-04-16,348
2020-04-17,370
2020-04-18,388
2020-04-19,394
2020-04-20,402
2020-04-21,408
2020-04-22,416
2020-04-23,425
2020-04-24,444
2020-04-25,456
2020-04-26,486
2020-04-27,497
2020-04-28,511
2020-04-29,517
2020-04-30,539
2020-05-01,566
2020-05-02,582
2020-05-03,589
2020-05-04,593
2020-05-05,604
2020-05-06,610
2020-05-07,615
2020-05-08,623
2020-05-09,626
2020-05-10,635
2020-05-11,638
2020-05-12,642
2020-05-13,647
2020-05-14,667
2020-05-15,671
2020-05-16,683
2020-05-17,695
2020-05-18,701
2020-05-19,707
2020-05-20,713
2020-05-21,721
2020-05-22,723
2020-05-23,728
2020-05-24,730
2020-05-25,731
2020-05-26,732
2020-05-27,735
2020-05-28,738
2020-05-29,746
2020-05-30,757
2020-05-31,783
2020-06-01,794
2020-06-02,796
2020-06-03,800
2020-06-04,801
2020-06-05,805
2020-06-06,808
2020-06-07,809
2020-06-08,812
2020-06-09,818
2020-06-10,827
2020-06-11,831
2020-06-12,843
2020-06-13,851
2020-06-14,864
2020-06-15,879
2020-06-16,879
2020-06-17,888
2020-06-18,893
2020-06-19,896
2020-06-20,898
2020-06-21,906
2020-06-22,908
2020-06-23,911
2020-06-24,914
2020-06-25,917
2020-06-26,919
2020-06-27,921
2020-06-28,924
2020-06-29,926
2020-06-30,928
2020-07-01,931
2020-07-02,939
2020-07-03,943
2020-07-04,948
2020-07-05,951
2020-07-06,953
2020-07-07,958
2020-07-08,963
2020-07-09,968
2020-07-10,973
2020-07-11,981
2020-07-12,986
2020-07-13,995
2020-07-14,999
2020-07-15,1004
2020-07-16,1006
2020-07-17,1010
2020-07-18,1018
2020-07-19,1028
2020-07-20,1039
2020-07-21,1049
2020-07-22,1073
2020-07-23,1085
2020-07-24,1104
2020-07-25,1117
2020-07-26,1131
2020-07-27,1137
2020-07-28,1145
2020-07-29,1155
2020-07-30,1160
2020-07-31,1168
2020-08-01,1171
2020-08-02,1177
2020-08-03,1179
2020-08-04,1182
2020-08-05,1197
2020-08-06,1206
2020-08-07,1213
2020-08-08,1216
