date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,1
2020-04-05,2
2020-04-06,2
2020-04-07,3
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,3
2020-04-17,3
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,4
2020-04-22,5
2020-04-23,5
2020-04-24,5
2020-04-25,5
2020-04-26,6
2020-04-27,6
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,7
2020-05-02,8
2020-05-03,9
2020-05-04,9
2020-05-05,9
2020-05-06,9
2020-05-07,9
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,11
2020-05-12,11
2020-05-13,11
2020-05-14,12
2020-05-15,12
2020-05-16,12
2020-05-17,12
2020-05-18,12
2020-05-19,12
2020-05-20,12
2020-05-21,12
2020-05-22,12
2020-05-23,12
2020-05-24,12
2020-05-25,12
2020-05-26,12
2020-05-27,12
2020-05-28,12
2020-05-29,12
2020-05-30,12
2020-05-31,12
2020-06-01,12
2020-06-02,13
2020-06-03,13
2020-06-04,13
2020-06-05,13
2020-06-06,13
2020-06-07,13
2020-06-08,13
2020-06-09,13
2020-06-10,13
2020-06-11,13
2020-06-12,13
2020-06-13,14
2020-06-14,14
2020-06-15,14
2020-06-16,14
2020-06-17,14
2020-06-18,14
2020-06-19,14
2020-06-20,14
2020-06-21,14
2020-06-22,14
2020-06-23,14
2020-06-24,14
2020-06-25,14
2020-06-26,14
2020-06-27,14
2020-06-28,15
2020-06-29,15
2020-06-30,15
2020-07-01,15
2020-07-02,15
2020-07-03,15
2020-07-04,15
2020-07-05,15
2020-07-06,15
2020-07-07,15
2020-07-08,15
2020-07-09,15
2020-07-10,15
2020-07-11,15
2020-07-12,15
2020-07-13,15
2020-07-14,15
2020-07-15,15
2020-07-16,15
2020-07-17,15
2020-07-18,15
2020-07-19,15
2020-07-20,16
2020-07-21,16
2020-07-22,16
2020-07-23,16
2020-07-24,16
2020-07-25,16
2020-07-26,16
2020-07-27,16
2020-07-28,16
2020-07-29,17
2020-07-30,17
2020-07-31,17
2020-08-01,17
2020-08-02,17
2020-08-03,17
2020-08-04,17
2020-08-05,17
2020-08-06,17
2020-08-07,17
2020-08-08,17
2020-08-09,17
2020-08-10,17
2020-08-11,17
2020-08-12,17
2020-08-13,17
2020-08-14,17
2020-08-15,17
2020-08-16,17
2020-08-17,17
2020-08-18,17
2020-08-19,17
2020-08-20,17
2020-08-21,17
2020-08-22,17
2020-08-23,17
2020-08-24,18
2020-08-25,19
2020-08-26,19
2020-08-27,19
2020-08-28,19
2020-08-29,19
2020-08-30,19
2020-08-31,19
2020-09-01,19
2020-09-02,19
2020-09-03,19
2020-09-04,19
2020-09-05,19
2020-09-06,19
2020-09-07,19
2020-09-08,19
2020-09-09,19
2020-09-10,19
2020-09-11,19
2020-09-12,19
2020-09-13,19
2020-09-14,19
2020-09-15,19
2020-09-16,19
2020-09-17,19
2020-09-18,19
2020-09-19,19
2020-09-20,19
2020-09-21,20
2020-09-22,23
2020-09-23,25
2020-09-24,26
2020-09-25,27
2020-09-26,28
2020-09-27,28
2020-09-28,32
2020-09-29,36
2020-09-30,39
2020-10-01,41
2020-10-02,46
2020-10-03,48
2020-10-04,50
2020-10-05,54
2020-10-06,58
2020-10-07,63
2020-10-08,66
2020-10-09,72
2020-10-10,78
2020-10-11,85
2020-10-12,93
