date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,2.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,9.0
2020-03-09,2.0
2020-03-10,0.0
2020-03-11,9.0
2020-03-12,0.0
2020-03-13,1.0
2020-03-14,5.0
2020-03-15,3.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,4.0
2020-03-19,2.0
2020-03-20,3.0
2020-03-21,6.0
2020-03-22,5.0
2020-03-23,7.0
2020-03-24,9.0
2020-03-25,5.0
2020-03-26,4.0
2020-03-27,4.0
2020-03-28,7.0
2020-03-29,1.0
2020-03-30,12.0
2020-03-31,7.0
2020-04-01,7.0
2020-04-02,17.0
2020-04-03,21.0
2020-04-04,7.0
2020-04-05,12.0
2020-04-06,14.0
2020-04-07,8.0
2020-04-08,15.0
2020-04-09,7.0
2020-04-10,16.0
2020-04-11,8.0
2020-04-12,15.0
2020-04-13,15.0
2020-04-14,28.0
2020-04-15,6.0
2020-04-16,42.0
2020-04-17,22.0
2020-04-18,18.0
2020-04-19,6.0
2020-04-20,8.0
2020-04-21,6.0
2020-04-22,8.0
2020-04-23,9.0
2020-04-24,19.0
2020-04-25,12.0
2020-04-26,30.0
2020-04-27,11.0
2020-04-28,14.0
2020-04-29,6.0
2020-04-30,22.0
2020-05-01,27.0
2020-05-02,16.0
2020-05-03,7.0
2020-05-04,4.0
2020-05-05,11.0
2020-05-06,6.0
2020-05-07,5.0
2020-05-08,8.0
2020-05-09,3.0
2020-05-10,9.0
2020-05-11,3.0
2020-05-12,4.0
2020-05-13,5.0
2020-05-14,20.0
2020-05-15,4.0
2020-05-16,12.0
2020-05-17,12.0
2020-05-18,6.0
2020-05-19,6.0
2020-05-20,6.0
2020-05-21,8.0
2020-05-22,2.0
2020-05-23,5.0
2020-05-24,2.0
2020-05-25,1.0
2020-05-26,1.0
2020-05-27,3.0
2020-05-28,3.0
2020-05-29,8.0
2020-05-30,11.0
2020-05-31,26.0
2020-06-01,11.0
2020-06-02,2.0
2020-06-03,4.0
2020-06-04,1.0
2020-06-05,4.0
2020-06-06,3.0
2020-06-07,1.0
2020-06-08,3.0
2020-06-09,6.0
2020-06-10,9.0
2020-06-11,4.0
2020-06-12,12.0
2020-06-13,8.0
2020-06-14,13.0
2020-06-15,15.0
2020-06-16,0.0
2020-06-17,9.0
2020-06-18,5.0
2020-06-19,3.0
2020-06-20,2.0
2020-06-21,8.0
2020-06-22,2.0
2020-06-23,3.0
2020-06-24,3.0
2020-06-25,3.0
2020-06-26,2.0
2020-06-27,2.0
2020-06-28,3.0
2020-06-29,2.0
2020-06-30,2.0
2020-07-01,3.0
2020-07-02,8.0
2020-07-03,4.0
2020-07-04,5.0
2020-07-05,3.0
2020-07-06,2.0
2020-07-07,5.0
2020-07-08,5.0
2020-07-09,5.0
2020-07-10,5.0
2020-07-11,8.0
2020-07-12,5.0
2020-07-13,9.0
2020-07-14,4.0
2020-07-15,5.0
2020-07-16,2.0
2020-07-17,4.0
2020-07-18,8.0
2020-07-19,10.0
2020-07-20,11.0
2020-07-21,10.0
2020-07-22,24.0
2020-07-23,12.0
2020-07-24,19.0
2020-07-25,13.0
2020-07-26,14.0
2020-07-27,6.0
2020-07-28,8.0
2020-07-29,10.0
2020-07-30,5.0
2020-07-31,8.0
2020-08-01,3.0
2020-08-02,6.0
2020-08-03,2.0
2020-08-04,3.0
2020-08-05,15.0
2020-08-06,9.0
2020-08-07,7.0
2020-08-08,3.0
2020-08-09,9.0
