date,current
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,1.0
2020-01-28,4.0
2020-01-29,4.0
2020-01-30,4.0
2020-01-31,5.0
2020-02-01,8.0
2020-02-02,10.0
2020-02-03,12.0
2020-02-04,12.0
2020-02-05,12.0
2020-02-06,12.0
2020-02-07,13.0
2020-02-08,13.0
2020-02-09,14.0
2020-02-10,14.0
2020-02-11,16.0
2020-02-12,16.0
2020-02-13,15.0
2020-02-14,15.0
2020-02-15,15.0
2020-02-16,15.0
2020-02-17,15.0
2020-02-18,4.0
2020-02-19,4.0
2020-02-20,4.0
2020-02-21,2.0
2020-02-22,2.0
2020-02-23,2.0
2020-02-24,2.0
2020-02-25,3.0
2020-02-26,12.0
2020-02-27,30.0
2020-02-28,32.0
2020-02-29,63.0
2020-03-01,114.0
2020-03-02,143.0
2020-03-03,180.0
2020-03-04,246.0
2020-03-05,466.0
2020-03-06,653.0
2020-03-07,781.0
2020-03-08,1022.0
2020-03-09,1156.0
2020-03-10,1437.0
2020-03-11,1880.0
2020-03-12,2050.0
2020-03-13,3622.0
2020-03-14,4530.0
2020-03-15,5738.0
2020-03-16,7188.0
2020-03-17,9166.0
2020-03-18,12194.0
2020-03-19,15163.0
2020-03-20,19601.0
2020-03-21,21896.0
2020-03-22,24513.0
