date,recovered
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,12.0
2020-02-19,12.0
2020-02-20,12.0
2020-02-21,14.0
2020-02-22,14.0
2020-02-23,14.0
2020-02-24,14.0
2020-02-25,14.0
2020-02-26,15.0
2020-02-27,16.0
2020-02-28,16.0
2020-02-29,16.0
2020-03-01,16.0
2020-03-02,16.0
2020-03-03,16.0
2020-03-04,16.0
2020-03-05,16.0
2020-03-06,17.0
2020-03-07,18.0
2020-03-08,18.0
2020-03-09,18.0
2020-03-10,18.0
2020-03-11,25.0
2020-03-12,25.0
2020-03-13,46.0
2020-03-14,46.0
2020-03-15,46.0
2020-03-16,67.0
2020-03-17,67.0
2020-03-18,105.0
2020-03-19,113.0
2020-03-20,180.0
2020-03-21,233.0
2020-03-22,266.0
