date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,3
2020-03-15,6
2020-03-16,6
2020-03-17,7
2020-03-18,7
2020-03-19,11
2020-03-20,16
2020-03-21,19
2020-03-22,23
2020-03-23,27
2020-03-24,53
2020-03-25,93
2020-03-26,132
2020-03-27,137
2020-03-28,141
2020-03-29,152
2020-03-30,152
2020-03-31,161
2020-04-01,195
2020-04-02,204
2020-04-03,205
2020-04-04,205
2020-04-05,214
2020-04-06,214
2020-04-07,287
2020-04-08,313
2020-04-09,378
2020-04-10,378
2020-04-11,408
2020-04-12,566
2020-04-13,566
2020-04-14,636
2020-04-15,636
2020-04-16,641
2020-04-17,641
2020-04-18,834
2020-04-19,1042
2020-04-20,1042
2020-04-21,1042
2020-04-22,1154
2020-04-23,1154
2020-04-24,1279
2020-04-25,1279
2020-04-26,1550
2020-04-27,1550
2020-04-28,1671
2020-04-29,1671
2020-04-30,2074
2020-05-01,2074
2020-05-02,2169
2020-05-03,2169
2020-05-04,2719
2020-05-05,2719
2020-05-06,3091
2020-05-07,3091
2020-05-08,4012
2020-05-09,4263
2020-05-10,4263
2020-05-11,4700
2020-05-12,5127
2020-05-13,5408
