date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,3
2020-03-15,4
2020-03-16,4
2020-03-17,5
2020-03-18,5
2020-03-19,6
2020-03-20,6
2020-03-21,13
2020-03-22,15
2020-03-23,17
2020-03-24,20
2020-03-25,22
2020-03-26,26
2020-03-27,28
2020-03-28,32
2020-03-29,38
2020-03-30,43
2020-03-31,49
2020-04-01,50
2020-04-02,53
2020-04-03,63
2020-04-04,68
2020-04-05,73
2020-04-06,79
2020-04-07,81
2020-04-08,83
2020-04-09,87
2020-04-10,92
2020-04-11,93
2020-04-12,98
2020-04-13,99
2020-04-14,101
2020-04-15,102
2020-04-16,105
2020-04-17,108
2020-04-18,110
2020-04-19,113
2020-04-20,116
2020-04-21,121
2020-04-22,121
2020-04-23,125
2020-04-24,130
2020-04-25,130
2020-04-26,134
2020-04-27,136
2020-04-28,138
2020-04-29,139
2020-04-30,140
2020-05-01,140
2020-05-02,143
2020-05-03,144
2020-05-04,146
2020-05-05,146
2020-05-06,147
2020-05-07,148
2020-05-08,150
2020-05-09,151
2020-05-10,151
2020-05-11,151
2020-05-12,152
2020-05-13,155
2020-05-14,156
2020-05-15,160
2020-05-16,162
2020-05-17,163
2020-05-18,165
2020-05-19,165
2020-05-20,166
2020-05-21,168
2020-05-22,169
2020-05-23,171
2020-05-24,171
2020-05-25,172
2020-05-26,173
2020-05-27,173
2020-05-28,175
2020-05-29,175
2020-05-30,175
2020-05-31,175
2020-06-01,179
2020-06-02,179
2020-06-03,179
2020-06-04,180
2020-06-05,180
2020-06-06,180
2020-06-07,180
2020-06-08,182
2020-06-09,183
2020-06-10,183
2020-06-11,183
2020-06-12,183
2020-06-13,183
2020-06-14,183
2020-06-15,184
2020-06-16,185
2020-06-17,187
2020-06-18,188
2020-06-19,189
2020-06-20,190
2020-06-21,190
2020-06-22,190
2020-06-23,190
2020-06-24,190
2020-06-25,191
2020-06-26,191
2020-06-27,191
2020-06-28,191
2020-06-29,191
2020-06-30,192
2020-07-01,192
2020-07-02,192
2020-07-03,192
2020-07-04,192
2020-07-05,192
2020-07-06,192
2020-07-07,193
2020-07-08,193
2020-07-09,193
2020-07-10,193
2020-07-11,193
2020-07-12,193
2020-07-13,193
2020-07-14,193
2020-07-15,193
2020-07-16,193
2020-07-17,194
2020-07-18,194
2020-07-19,194
2020-07-20,195
2020-07-21,197
2020-07-22,200
2020-07-23,201
2020-07-24,201
2020-07-25,201
2020-07-26,202
2020-07-27,202
2020-07-28,203
2020-07-29,203
2020-07-30,203
2020-07-31,206
2020-08-01,206
2020-08-02,208
2020-08-03,209
2020-08-04,209
2020-08-05,210
2020-08-06,210
2020-08-07,210
2020-08-08,211
