date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,1.0
2020-03-17,4.0
2020-03-18,0.0
2020-03-19,3.0
2020-03-20,3.0
2020-03-21,5.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,3.0
2020-03-26,1.0
2020-03-27,3.0
2020-03-28,6.0
2020-03-29,0.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,1.0
2020-04-02,8.0
2020-04-03,3.0
2020-04-04,11.0
2020-04-05,0.0
2020-04-06,9.0
2020-04-07,7.0
2020-04-08,10.0
2020-04-09,8.0
2020-04-10,31.0
2020-04-11,11.0
2020-04-12,18.0
2020-04-13,1.0
2020-04-14,11.0
2020-04-15,13.0
2020-04-16,16.0
2020-04-17,18.0
2020-04-18,21.0
2020-04-19,22.0
2020-04-20,32.0
2020-04-21,5.0
2020-04-22,22.0
2020-04-23,68.0
2020-04-24,46.0
2020-04-25,43.0
2020-04-26,27.0
2020-04-27,30.0
2020-04-28,0.0
2020-04-29,27.0
2020-04-30,42.0
2020-05-01,45.0
2020-05-02,44.0
2020-05-03,15.0
2020-05-04,27.0
2020-05-05,33.0
2020-05-06,35.0
2020-05-07,34.0
2020-05-08,68.0
2020-05-09,67.0
2020-05-10,85.0
2020-05-11,62.0
2020-05-12,85.0
2020-05-13,143.0
2020-05-14,176.0
2020-05-15,125.0
2020-05-16,120.0
2020-05-17,0.0
2020-05-18,149.0
2020-05-19,221.0
2020-05-20,132.0
2020-05-21,247.0
2020-05-22,231.0
2020-05-23,311.0
2020-05-24,370.0
2020-05-25,336.0
2020-05-26,194.0
2020-05-27,191.0
2020-05-28,203.0
2020-05-29,259.0
2020-05-30,132.0
2020-05-31,348.0
2020-06-01,249.0
2020-06-02,250.0
2020-06-03,174.0
2020-06-04,394.0
2020-06-05,331.0
2020-06-06,307.0
2020-06-07,263.0
2020-06-08,447.0
2020-06-09,364.0
2020-06-10,355.0
2020-06-11,340.0
2020-06-12,421.0
2020-06-13,509.0
2020-06-14,354.0
2020-06-15,427.0
2020-06-16,434.0
2020-06-17,545.0
2020-06-18,617.0
2020-06-19,641.0
2020-06-20,246.0
2020-06-21,390.0
2020-06-22,624.0
2020-06-23,771.0
2020-06-24,279.0
2020-06-25,800.0
2020-06-26,209.0
2020-06-27,569.0
2020-06-28,533.0
2020-06-29,479.0
2020-06-30,687.0
2020-07-01,915.0
2020-07-02,1061.0
2020-07-03,1221.0
2020-07-04,1208.0
2020-07-05,747.0
2020-07-06,724.0
2020-07-07,815.0
2020-07-08,624.0
2020-07-09,1247.0
2020-07-10,961.0
2020-07-11,979.0
2020-07-12,757.0
2020-07-13,387.0
2020-07-14,1130.0
2020-07-15,1202.0
2020-07-16,865.0
2020-07-17,870.0
2020-07-18,4233.0
2020-07-19,635.0
2020-07-20,362.0
2020-07-21,1190.0
2020-07-22,906.0
2020-07-23,1057.0
2020-07-24,1091.0
2020-07-25,1209.0
2020-07-26,561.0
2020-07-27,256.0
2020-07-28,1142.0
2020-07-29,1154.0
2020-07-30,1221.0
2020-07-31,963.0
2020-08-01,1190.0
2020-08-02,327.0
2020-08-03,236.0
2020-08-04,823.0
2020-08-05,1144.0
2020-08-06,830.0
2020-08-07,931.0
2020-08-08,919.0
2020-08-09,416.0
