date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,3
2020-03-02,6
2020-03-03,11
2020-03-04,26
2020-03-05,34
2020-03-06,43
2020-03-07,50
2020-03-08,50
2020-03-09,58
2020-03-10,69
2020-03-11,85
2020-03-12,103
2020-03-13,134
2020-03-14,156
2020-03-15,171
2020-03-16,180
2020-03-17,220
2020-03-18,250
2020-03-19,330
2020-03-20,409
2020-03-21,473
2020-03-22,568
2020-03-23,588
2020-03-24,648
2020-03-25,737
2020-03-26,802
2020-03-27,890
2020-03-28,963
2020-03-29,1020
2020-03-30,1086
2020-03-31,1135
2020-04-01,1220
2020-04-02,1319
2020-04-03,1364
2020-04-04,1417
2020-04-05,1486
2020-04-06,1562
2020-04-07,1586
2020-04-08,1616
2020-04-09,1648
2020-04-10,1675
2020-04-11,1689
2020-04-12,1701
2020-04-13,1711
2020-04-14,1720
2020-04-15,1727
2020-04-16,1739
2020-04-17,1754
2020-04-18,1760
2020-04-19,1771
2020-04-20,1773
2020-04-21,1778
2020-04-22,1785
2020-04-23,1789
2020-04-24,1789
2020-04-25,1790
2020-04-26,1792
2020-04-27,1792
2020-04-28,1795
2020-04-29,1797
2020-04-30,1797
2020-05-01,1798
2020-05-02,1798
2020-05-03,1799
2020-05-04,1799
2020-05-05,1799
2020-05-06,1799
2020-05-07,1801
2020-05-08,1801
2020-05-09,1801
2020-05-10,1801
2020-05-11,1801
2020-05-12,1801
2020-05-13,1802
2020-05-14,1802
2020-05-15,1802
2020-05-16,1802
2020-05-17,1802
2020-05-18,1802
2020-05-19,1802
2020-05-20,1803
2020-05-21,1803
2020-05-22,1803
2020-05-23,1804
2020-05-24,1804
2020-05-25,1804
2020-05-26,1804
2020-05-27,1805
2020-05-28,1805
2020-05-29,1805
2020-05-30,1806
2020-05-31,1806
2020-06-01,1806
2020-06-02,1806
2020-06-03,1806
2020-06-04,1806
2020-06-05,1806
2020-06-06,1806
2020-06-07,1807
2020-06-08,1807
2020-06-09,1807
2020-06-10,1807
2020-06-11,1807
2020-06-12,1807
2020-06-13,1808
2020-06-14,1810
2020-06-15,1811
2020-06-16,1812
2020-06-17,1812
2020-06-18,1814
2020-06-19,1815
2020-06-20,1815
2020-06-21,1815
2020-06-22,1815
2020-06-23,1815
2020-06-24,1817
2020-06-25,1818
2020-06-26,1820
2020-06-27,1820
2020-06-28,1821
2020-06-29,1822
2020-06-30,1824
2020-07-01,1825
2020-07-02,1830
2020-07-03,1830
2020-07-04,1830
2020-07-05,1830
2020-07-06,1832
2020-07-07,1833
2020-07-08,1833
2020-07-09,1833
2020-07-10,1833
2020-07-11,1833
2020-07-12,1833
2020-07-13,1833
2020-07-14,1835
2020-07-15,1835
2020-07-16,1836
2020-07-17,1836
2020-07-18,1838
2020-07-19,1839
2020-07-20,1839
2020-07-21,1839
2020-07-22,1840
2020-07-23,1841
2020-07-24,1843
2020-07-25,1843
2020-07-26,1847
2020-07-27,1854
2020-07-28,1857
2020-07-29,1861
2020-07-30,1872
2020-07-31,1885
2020-08-01,1893
2020-08-02,1907
2020-08-03,1915
2020-08-04,1918
2020-08-05,1926
2020-08-06,1932
2020-08-07,1952
2020-08-08,1955
2020-08-09,1958
2020-08-10,1962
2020-08-11,1968
2020-08-12,1972
2020-08-13,1976
2020-08-14,1983
2020-08-15,1999
2020-08-16,2011
2020-08-17,2014
2020-08-18,2027
2020-08-19,2035
2020-08-20,2040
2020-08-21,2050
2020-08-22,2058
2020-08-23,2064
2020-08-24,2073
2020-08-25,2077
2020-08-26,2082
2020-08-27,2087
2020-08-28,2092
2020-08-29,2100
2020-08-30,2105
2020-08-31,2107
2020-09-01,2116
2020-09-02,2121
2020-09-03,2128
2020-09-04,2135
2020-09-05,2136
2020-09-06,2141
2020-09-07,2143
2020-09-08,2150
2020-09-09,2153
2020-09-10,2157
2020-09-11,2161
2020-09-12,2162
2020-09-13,2165
2020-09-14,2168
2020-09-15,2174
2020-09-16,2189
2020-09-17,2206
2020-09-18,2230
2020-09-19,2307
2020-09-20,2307
2020-09-21,2377
2020-09-22,2419
2020-09-23,2476
2020-09-24,2512
2020-09-25,2561
2020-09-26,2601
2020-09-27,2623
2020-09-28,2663
2020-09-29,2695
2020-09-30,2728
2020-10-01,2769
2020-10-02,2809
2020-10-03,2872
2020-10-04,2921
2020-10-05,2980
2020-10-06,3081
2020-10-07,3172
2020-10-08,3267
2020-10-09,3373
2020-10-10,3460
2020-10-11,3526
2020-10-12,3582
