date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,1.0
2020-02-29,0.0
2020-03-01,2.0
2020-03-02,3.0
2020-03-03,5.0
2020-03-04,15.0
2020-03-05,8.0
2020-03-06,9.0
2020-03-07,7.0
2020-03-08,0.0
2020-03-09,8.0
2020-03-10,11.0
2020-03-11,16.0
2020-03-12,18.0
2020-03-13,31.0
2020-03-14,22.0
2020-03-15,15.0
2020-03-16,9.0
2020-03-17,40.0
2020-03-18,30.0
2020-03-19,80.0
2020-03-20,79.0
2020-03-21,64.0
2020-03-22,95.0
2020-03-23,20.0
2020-03-24,60.0
2020-03-25,89.0
2020-03-26,65.0
2020-03-27,88.0
2020-03-28,73.0
2020-03-29,57.0
2020-03-30,66.0
2020-03-31,49.0
2020-04-01,85.0
2020-04-02,99.0
2020-04-03,45.0
2020-04-04,53.0
2020-04-05,69.0
2020-04-06,76.0
2020-04-07,24.0
2020-04-08,30.0
