date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,3
2020-03-19,4
2020-03-20,5
2020-03-21,4
2020-03-22,7
2020-03-23,10
2020-03-24,10
2020-03-25,12
2020-03-26,20
2020-03-27,20
2020-03-28,24
2020-03-29,27
2020-03-30,32
2020-03-31,35
2020-04-01,58
2020-04-02,72
2020-04-03,72
2020-04-04,86
2020-04-05,99
2020-04-06,136
2020-04-07,150
2020-04-08,178
2020-04-09,226
2020-04-10,246
2020-04-11,288
2020-04-12,331
2020-04-13,358
2020-04-14,393
2020-04-15,405
2020-04-16,448
2020-04-17,486
2020-04-18,521
2020-04-19,559
2020-04-20,592
2020-04-21,645
2020-04-22,681
2020-04-23,721
2020-04-24,780
2020-04-25,825
2020-04-26,881
2020-04-27,939
2020-04-28,1008
2020-04-29,1079
2020-04-30,1154
2020-05-01,1223
2020-05-02,1323
2020-05-03,1391
2020-05-04,1566
2020-05-05,1693
2020-05-06,1785
2020-05-07,1889
2020-05-08,1985
2020-05-09,2101
2020-05-10,2212
2020-05-11,2294
2020-05-12,2415
2020-05-13,2551
2020-05-14,2649
2020-05-15,2753
2020-05-16,2871
2020-05-17,3025
2020-05-18,3156
2020-05-19,3302
2020-05-20,3434
2020-05-21,3584
2020-05-22,3726
2020-05-23,3868
2020-05-24,4024
2020-05-25,4172
2020-05-26,4344
2020-05-27,4534
2020-05-28,4711
2020-05-29,4980
2020-05-30,5185
2020-05-31,5408
2020-06-01,5608
2020-06-02,5829
2020-06-03,6088
2020-06-04,6363
2020-06-05,6649
2020-06-06,6946
2020-06-07,7207
2020-06-08,7473
2020-06-09,7750
2020-06-10,8102
2020-06-11,8498
2020-06-12,8884
2020-06-13,9195
2020-06-14,9520
2020-06-15,9900
2020-06-16,11903
2020-06-17,12237
2020-06-18,12573
2020-06-19,12948
2020-06-20,13254
2020-06-21,13699
2020-06-22,14011
2020-06-23,14476
2020-06-24,14894
2020-06-25,15301
2020-06-26,15685
2020-06-27,16095
2020-06-28,16475
2020-06-29,16893
2020-06-30,17400
2020-07-01,17834
2020-07-02,18213
2020-07-03,18655
2020-07-04,19268
2020-07-05,19693
2020-07-06,20159
2020-07-07,20642
2020-07-08,21129
2020-07-09,21604
2020-07-10,22123
2020-07-11,22673
2020-07-12,23174
2020-07-13,23727
2020-07-14,24309
2020-07-15,24914
2020-07-16,25602
2020-07-17,26273
2020-07-18,26816
2020-07-19,27497
2020-07-20,28082
2020-07-21,28732
2020-07-22,29861
2020-07-23,30601
2020-07-24,31358
2020-07-25,32060
2020-07-26,32771
2020-07-27,33408
2020-07-28,34193
2020-07-29,34955
2020-07-30,35718
2020-07-31,36511
2020-08-01,37364
2020-08-02,38135
2020-08-03,38938
2020-08-04,39795
2020-08-05,40699
2020-08-06,41585
2020-08-07,42518
2020-08-08,43379
