date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,1
2020-03-12,1
2020-03-13,4
2020-03-14,5
2020-03-15,5
2020-03-16,5
2020-03-17,5
2020-03-18,19
2020-03-19,25
2020-03-20,32
2020-03-21,38
2020-03-22,48
2020-03-23,49
2020-03-24,55
2020-03-25,58
2020-03-26,78
2020-03-27,87
2020-03-28,102
2020-03-29,114
2020-03-30,122
2020-03-31,136
2020-04-01,157
2020-04-02,170
2020-04-03,181
2020-04-04,191
2020-04-05,198
2020-04-06,209
2020-04-07,221
2020-04-08,240
2020-04-09,280
2020-04-10,306
2020-04-11,327
2020-04-12,373
2020-04-13,399
2020-04-14,459
2020-04-15,469
2020-04-16,496
2020-04-17,520
2020-04-18,535
2020-04-19,582
2020-04-20,590
2020-04-21,616
2020-04-22,635
2020-04-23,647
2020-04-24,689
2020-04-25,720
2020-04-26,743
2020-04-27,765
2020-04-28,773
2020-04-29,784
2020-04-30,792
2020-05-01,800
2020-05-02,831
2020-05-03,845
2020-05-04,864
2020-05-05,872
2020-05-06,895
2020-05-07,930
2020-05-08,943
2020-05-09,959
2020-05-10,973
2020-05-11,991
2020-05-12,1007
2020-05-13,1028
2020-05-14,1043
2020-05-15,1076
2020-05-16,1089
2020-05-17,1148
2020-05-18,1191
2020-05-19,1221
2020-05-20,1242
2020-05-21,1278
2020-05-22,1326
2020-05-23,1351
2020-05-24,1372
2020-05-25,1391
2020-05-26,1418
2020-05-27,1473
2020-05-28,1496
2020-05-29,1520
2020-05-30,1573
2020-05-31,1613
2020-06-01,1641
2020-06-02,1663
2020-06-03,1698
2020-06-04,1721
2020-06-05,1770
2020-06-06,1801
2020-06-07,1851
2020-06-08,1883
2020-06-09,1923
2020-06-10,1959
2020-06-11,2000
2020-06-12,2048
2020-06-13,2091
2020-06-14,2134
2020-06-15,2198
2020-06-16,2231
2020-06-17,2276
2020-06-18,2339
2020-06-19,2373
2020-06-20,2429
2020-06-21,2465
2020-06-22,2500
2020-06-23,2535
2020-06-24,2573
2020-06-25,2620
2020-06-26,2683
2020-06-27,2720
2020-06-28,2754
2020-06-29,2805
2020-06-30,2876
2020-07-01,2934
2020-07-02,2987
2020-07-03,3036
2020-07-04,3089
2020-07-05,3171
2020-07-06,3241
2020-07-07,3309
2020-07-08,3359
2020-07-09,3417
2020-07-10,3469
2020-07-11,3535
2020-07-12,3606
2020-07-13,3656
2020-07-14,3710
2020-07-15,3797
2020-07-16,3873
2020-07-17,3957
2020-07-18,4016
2020-07-19,4143
2020-07-20,4239
2020-07-21,4320
2020-07-22,4459
2020-07-23,4576
2020-07-24,4665
2020-07-25,4714
2020-07-26,4781
2020-07-27,4838
2020-07-28,4901
2020-07-29,4975
2020-07-30,5058
2020-07-31,5131
2020-08-01,5193
2020-08-02,5236
2020-08-03,5302
2020-08-04,5388
2020-08-05,5452
2020-08-06,5521
2020-08-07,5593
2020-08-08,5658
