date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,5
2020-02-21,18
2020-02-22,28
2020-02-23,43
2020-02-24,61
2020-02-25,95
2020-02-26,139
2020-02-27,245
2020-02-28,388
2020-02-29,593
2020-03-01,978
2020-03-02,1501
2020-03-03,2336
2020-03-04,2922
2020-03-05,3513
2020-03-06,4747
2020-03-07,5823
2020-03-08,6566
2020-03-09,7161
2020-03-10,8042
2020-03-11,9000
2020-03-12,10075
2020-03-13,11364
2020-03-14,12729
2020-03-15,13938
2020-03-16,14991
2020-03-17,16169
2020-03-18,17361
2020-03-19,18407
2020-03-20,19644
2020-03-21,20610
2020-03-22,21638
2020-03-23,23049
2020-03-24,24811
2020-03-25,27017
2020-03-26,29406
2020-03-27,32332
2020-03-28,35408
2020-03-29,38309
2020-03-30,41495
2020-03-31,44605
2020-04-01,47593
2020-04-02,50468
2020-04-03,53183
2020-04-04,55743
2020-04-05,58226
2020-04-06,60500
2020-04-07,62589
2020-04-08,64586
2020-04-09,66220
2020-04-10,68192
2020-04-11,70029
2020-04-12,71686
2020-04-13,73303
2020-04-14,74877
2020-04-15,76389
2020-04-16,77995
2020-04-17,79494
2020-04-18,80868
2020-04-19,82211
2020-04-20,83505
2020-04-21,84802
2020-04-22,85996
2020-04-23,87026
2020-04-24,88194
2020-04-25,89328
2020-04-26,90481
2020-04-27,91472
2020-04-28,92584
2020-04-29,93657
2020-04-30,94640
2020-05-01,95646
2020-05-02,96448
2020-05-03,97424
2020-05-04,98647
2020-05-05,99970
2020-05-06,101650
2020-05-07,103135
2020-05-08,104691
2020-05-09,106220
2020-05-10,107603
2020-05-11,109286
2020-05-12,110767
2020-05-13,112725
2020-05-14,114533
2020-05-15,116635
2020-05-16,118392
2020-05-17,120198
2020-05-18,122492
2020-05-19,124603
2020-05-20,126949
2020-05-21,129341
2020-05-22,131652
2020-05-23,133521
2020-05-24,135701
2020-05-25,137724
2020-05-26,139511
2020-05-27,141591
2020-05-28,143849
2020-05-29,146668
2020-05-30,148950
2020-05-31,151466
2020-06-01,154445
2020-06-02,157562
2020-06-03,160696
2020-06-04,164270
2020-06-05,167156
2020-06-06,169425
2020-06-07,171789
2020-06-08,173832
2020-06-09,175927
2020-06-10,177938
2020-06-11,180156
2020-06-12,182525
2020-06-13,184955
2020-06-14,187427
2020-06-15,189876
2020-06-16,192439
2020-06-17,195051
2020-06-18,197647
2020-06-19,200262
2020-06-20,202584
2020-06-21,204952
2020-06-22,207525
2020-06-23,209970
2020-06-24,212501
2020-06-25,215096
2020-06-26,217724
2020-06-27,220180
2020-06-28,222669
2020-06-29,225205
2020-06-30,227662
2020-07-01,230211
2020-07-02,232863
2020-07-03,235429
2020-07-04,237878
2020-07-05,240438
2020-07-06,243051
2020-07-07,245688
2020-07-08,248379
2020-07-09,250458
2020-07-10,252720
2020-07-11,255117
2020-07-12,257303
2020-07-13,259652
2020-07-14,262173
2020-07-15,264561
2020-07-16,267061
2020-07-17,269440
2020-07-18,271606
2020-07-19,273788
2020-07-20,276202
2020-07-21,278827
2020-07-22,281413
2020-07-23,284034
2020-07-24,286523
2020-07-25,288839
2020-07-26,291172
2020-07-27,293606
2020-07-28,296273
2020-07-29,298909
2020-07-30,301530
2020-07-31,304204
2020-08-01,306752
2020-08-02,309437
2020-08-03,312035
2020-08-04,314786
2020-08-05,317483
2020-08-06,320117
2020-08-07,322567
2020-08-08,324692
2020-08-09,326712
2020-08-10,328844
2020-08-11,331189
2020-08-12,333699
2020-08-13,336324
2020-08-14,338825
2020-08-15,341070
2020-08-16,343203
2020-08-17,345450
2020-08-18,347835
2020-08-19,350279
2020-08-20,352558
2020-08-21,354764
2020-08-22,356792
2020-08-23,358905
2020-08-24,361150
2020-08-25,363363
2020-08-26,365606
2020-08-27,367796
2020-08-28,369911
2020-08-29,371816
2020-08-30,373570
2020-08-31,375212
2020-09-01,376894
2020-09-02,378752
2020-09-03,380746
2020-09-04,382772
2020-09-05,384666
2020-09-06,386658
2020-09-07,388810
2020-09-08,391112
2020-09-09,393425
2020-09-10,395488
2020-09-11,397801
2020-09-12,399940
2020-09-13,402029
2020-09-14,404648
2020-09-15,407353
2020-09-16,410334
2020-09-17,413149
2020-09-18,416198
2020-09-19,419043
2020-09-20,422140
2020-09-21,425481
2020-09-22,429193
2020-09-23,432798
2020-09-24,436319
2020-09-25,439882
2020-09-26,443086
2020-09-27,446448
2020-09-28,449960
2020-09-29,453637
2020-09-30,457219
2020-10-01,461044
2020-10-02,464596
2020-10-03,468119
2020-10-04,471772
2020-10-05,475674
2020-10-06,479825
2020-10-07,483844
2020-10-08,488236
2020-10-09,492378
2020-10-10,496253
2020-10-11,500075
2020-10-12,504281
