date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,2
2020-02-21,4
2020-02-22,5
2020-02-23,8
2020-02-24,12
2020-02-25,16
2020-02-26,19
2020-02-27,26
2020-02-28,34
2020-02-29,43
2020-03-01,54
2020-03-02,66
2020-03-03,77
2020-03-04,92
2020-03-05,107
2020-03-06,124
2020-03-07,145
2020-03-08,194
2020-03-09,237
2020-03-10,291
2020-03-11,354
2020-03-12,429
2020-03-13,514
2020-03-14,611
2020-03-15,724
2020-03-16,853
2020-03-17,988
2020-03-18,1135
2020-03-19,1284
2020-03-20,1433
2020-03-21,1556
2020-03-22,1685
2020-03-23,1812
2020-03-24,1934
2020-03-25,2077
2020-03-26,2234
2020-03-27,2378
2020-03-28,2517
2020-03-29,2640
2020-03-30,2757
2020-03-31,2898
2020-04-01,3036
2020-04-02,3160
2020-04-03,3294
2020-04-04,3452
2020-04-05,3603
2020-04-06,3739
2020-04-07,3872
2020-04-08,3993
2020-04-09,4110
2020-04-10,4232
2020-04-11,4357
2020-04-12,4474
2020-04-13,4585
2020-04-14,4683
2020-04-15,4777
2020-04-16,4869
2020-04-17,4958
2020-04-18,5031
2020-04-19,5118
2020-04-20,5209
2020-04-21,5297
2020-04-22,5391
2020-04-23,5481
2020-04-24,5574
2020-04-25,5650
2020-04-26,5710
2020-04-27,5806
2020-04-28,5877
2020-04-29,5957
2020-04-30,6028
2020-05-01,6091
2020-05-02,6156
2020-05-03,6203
2020-05-04,6277
2020-05-05,6340
2020-05-06,6418
2020-05-07,6486
2020-05-08,6541
2020-05-09,6589
2020-05-10,6640
2020-05-11,6685
2020-05-12,6733
2020-05-13,6783
2020-05-14,6854
2020-05-15,6902
2020-05-16,6937
2020-05-17,6988
2020-05-18,7057
2020-05-19,7119
2020-05-20,7183
2020-05-21,7249
2020-05-22,7300
2020-05-23,7359
2020-05-24,7417
2020-05-25,7451
2020-05-26,7508
2020-05-27,7564
2020-05-28,7627
2020-05-29,7677
2020-05-30,7734
2020-05-31,7797
2020-06-01,7878
2020-06-02,7942
2020-06-03,8012
2020-06-04,8071
2020-06-05,8134
2020-06-06,8209
2020-06-07,8281
2020-06-08,8351
2020-06-09,8425
2020-06-10,8506
2020-06-11,8584
2020-06-12,8659
2020-06-13,8730
2020-06-14,8837
2020-06-15,8950
2020-06-16,9065
2020-06-17,9185
2020-06-18,9272
2020-06-19,9392
2020-06-20,9507
2020-06-21,9623
2020-06-22,9742
2020-06-23,9863
2020-06-24,9996
2020-06-25,10130
2020-06-26,10239
2020-06-27,10364
2020-06-28,10508
2020-06-29,10670
2020-06-30,10817
2020-07-01,10958
2020-07-02,11106
2020-07-03,11260
2020-07-04,11408
2020-07-05,11571
2020-07-06,11731
2020-07-07,11931
2020-07-08,12084
2020-07-09,12305
2020-07-10,12447
2020-07-11,12635
2020-07-12,12829
2020-07-13,13032
2020-07-14,13211
2020-07-15,13410
2020-07-16,13608
2020-07-17,13791
2020-07-18,13979
2020-07-19,14188
2020-07-20,14405
2020-07-21,14634
2020-07-22,14853
2020-07-23,15074
2020-07-24,15289
2020-07-25,15484
2020-07-26,15700
2020-07-27,15912
2020-07-28,16147
2020-07-29,16343
2020-07-30,16569
2020-07-31,16766
2020-08-01,16982
2020-08-02,17190
2020-08-03,17405
2020-08-04,17617
2020-08-05,17802
2020-08-06,17976
2020-08-07,18132
2020-08-08,18264
2020-08-09,18427
2020-08-10,18616
2020-08-11,18800
2020-08-12,18988
2020-08-13,19162
2020-08-14,19331
2020-08-15,19492
2020-08-16,19639
2020-08-17,19804
2020-08-18,19972
2020-08-19,20125
2020-08-20,20264
2020-08-21,20376
2020-08-22,20502
2020-08-23,20643
2020-08-24,20776
2020-08-25,20901
2020-08-26,21020
2020-08-27,21137
2020-08-28,21249
2020-08-29,21359
2020-08-30,21462
2020-08-31,21571
2020-09-01,21672
2020-09-02,21797
2020-09-03,21926
2020-09-04,22044
2020-09-05,22154
2020-09-06,22293
2020-09-07,22410
2020-09-08,22542
2020-09-09,22669
2020-09-10,22798
2020-09-11,22913
2020-09-12,23029
2020-09-13,23157
2020-09-14,23313
2020-09-15,23453
2020-09-16,23632
2020-09-17,23808
2020-09-18,23952
2020-09-19,24118
2020-09-20,24301
2020-09-21,24478
2020-09-22,24656
2020-09-23,24840
2020-09-24,25015
2020-09-25,25222
2020-09-26,25394
2020-09-27,25589
2020-09-28,25779
2020-09-29,25986
2020-09-30,26169
2020-10-01,26380
2020-10-02,26567
2020-10-03,26746
2020-10-04,26957
2020-10-05,27192
2020-10-06,27419
2020-10-07,27658
2020-10-08,27888
2020-10-09,28098
2020-10-10,28293
2020-10-11,28544
2020-10-12,28816
