date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,3
2020-02-28,4
2020-02-29,7
2020-03-01,10
2020-03-02,10
2020-03-03,12
2020-03-04,15
2020-03-05,20
2020-03-06,37
2020-03-07,43
2020-03-08,61
2020-03-09,61
2020-03-10,75
2020-03-11,79
2020-03-12,100
2020-03-13,126
2020-03-14,155
2020-03-15,213
2020-03-16,218
2020-03-17,250
2020-03-18,304
2020-03-19,427
2020-03-20,529
2020-03-21,712
2020-03-22,883
2020-03-23,1071
2020-03-24,1238
2020-03-25,2369
2020-03-26,2693
2020-03-27,3035
2020-03-28,3619
2020-03-29,4247
2020-03-30,4695
2020-03-31,5358
2020-04-01,6092
2020-04-02,6857
2020-04-03,7428
2020-04-04,7851
2020-04-05,8430
2020-04-06,8904
2020-04-07,9248
2020-04-08,9404
2020-04-09,9968
2020-04-10,10408
2020-04-11,10743
2020-04-12,11145
2020-04-13,11586
2020-04-14,12046
2020-04-15,12501
2020-04-16,12758
2020-04-17,12982
2020-04-18,13265
2020-04-19,13491
2020-04-20,13713
2020-04-21,13942
2020-04-22,14498
2020-04-23,14803
2020-04-24,15058
2020-04-25,15298
2020-04-26,15443
2020-04-27,15555
2020-04-28,15728
2020-04-29,15834
2020-04-30,15946
2020-05-01,16101
2020-05-02,16185
2020-05-03,16208
2020-05-04,16246
2020-05-05,16289
2020-05-06,16310
2020-05-07,16381
2020-05-08,16436
2020-05-09,16454
2020-05-10,16477
2020-05-11,16506
2020-05-12,16529
2020-05-13,16548
2020-05-14,16579
2020-05-15,16589
2020-05-16,16608
2020-05-17,16617
2020-05-18,16643
2020-05-19,16659
2020-05-20,16667
2020-05-21,16683
2020-05-22,16690
2020-05-23,16712
2020-05-24,16717
2020-05-25,16734
2020-05-26,16757
2020-05-27,16793
2020-05-28,16872
2020-05-29,16987
2020-05-30,17012
2020-05-31,17071
2020-06-01,17169
2020-06-02,17285
2020-06-03,17377
2020-06-04,17495
2020-06-05,17562
2020-06-06,17752
2020-06-07,17863
2020-06-08,18032
2020-06-09,18180
2020-06-10,18355
2020-06-11,18569
2020-06-12,18795
2020-06-13,18972
2020-06-14,19055
2020-06-15,19237
2020-06-16,19495
2020-06-17,19783
2020-06-18,20036
2020-06-19,20339
2020-06-20,20633
2020-06-21,20778
2020-06-22,21082
2020-06-23,21512
2020-06-24,22044
2020-06-25,22400
2020-06-26,22800
2020-06-27,23421
2020-06-28,23755
2020-06-29,24441
2020-06-30,25244
2020-07-01,26257
2020-07-02,27047
2020-07-03,28055
2020-07-04,29170
2020-07-05,29958
2020-07-06,30749
2020-07-07,32222
2020-07-08,33557
2020-07-09,34825
2020-07-10,36266
2020-07-11,37464
2020-07-12,38670
2020-07-13,40632
2020-07-14,42360
2020-07-15,44188
2020-07-16,46059
2020-07-17,47459
2020-07-18,49365
2020-07-19,50289
2020-07-20,52003
2020-07-21,54042
2020-07-22,56085
2020-07-23,57982
2020-07-24,59475
2020-07-25,60678
2020-07-26,61956
2020-07-27,63985
2020-07-28,66293
2020-07-29,68299
2020-07-30,70036
2020-07-31,70970
2020-08-01,72218
2020-08-02,72815
2020-08-03,74430
2020-08-04,76198
2020-08-05,77919
2020-08-06,79559
2020-08-07,80991
2020-08-08,82324
