date,current
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,3
2020-02-29,6
2020-03-01,9
2020-03-02,9
2020-03-03,11
2020-03-04,14
2020-03-05,19
2020-03-06,35
2020-03-07,41
2020-03-08,59
2020-03-09,59
2020-03-10,79
2020-03-11,105
2020-03-12,127
2020-03-13,157
2020-03-14,189
2020-03-15,247
2020-03-16,251
2020-03-17,326
2020-03-18,422
2020-03-19,666
